county_name,median_household_income,zip code tabulation area
ZCTA5 02045,128022,02045
ZCTA5 02047,-666666666,02047
ZCTA5 02048,125506,02048
ZCTA5 02050,118633,02050
ZCTA5 02052,215099,02052
ZCTA5 02053,165614,02053
ZCTA5 02054,140816,02054
ZCTA5 02056,182716,02056
ZCTA5 02061,179777,02061
ZCTA5 02062,98653,02062
ZCTA5 02066,127255,02066
ZCTA5 02067,181545,02067
ZCTA5 02071,200496,02071
ZCTA5 02072,98145,02072
ZCTA5 02081,141599,02081
ZCTA5 02090,192887,02090
ZCTA5 02093,151833,02093
ZCTA5 02108,170379,02108
ZCTA5 02109,162179,02109
ZCTA5 02110,126157,02110
ZCTA5 02111,72321,02111
ZCTA5 02113,106625,02113
ZCTA5 02114,121418,02114
ZCTA5 02115,51454,02115
ZCTA5 02116,131648,02116
ZCTA5 02118,74155,02118
ZCTA5 02119,37158,02119
ZCTA5 02120,51698,02120
ZCTA5 02121,42411,02121
ZCTA5 02122,81025,02122
ZCTA5 02124,72189,02124
ZCTA5 02125,64983,02125
ZCTA5 02126,66689,02126
ZCTA5 02127,145357,02127
ZCTA5 02128,84023,02128
ZCTA5 02129,146815,02129
ZCTA5 02130,114933,02130
ZCTA5 02131,101566,02131
ZCTA5 02132,132457,02132
ZCTA5 02133,-666666666,02133
ZCTA5 02134,80027,02134
ZCTA5 02135,87603,02135
ZCTA5 02136,91579,02136
ZCTA5 02138,118320,02138
ZCTA5 02139,117124,02139
ZCTA5 02140,137792,02140
ZCTA5 02141,103451,02141
ZCTA5 02142,150294,02142
ZCTA5 02143,118440,02143
ZCTA5 02144,133627,02144
ZCTA5 02145,113469,02145
ZCTA5 02148,90295,02148
ZCTA5 02149,77796,02149
ZCTA5 02150,70968,02150
ZCTA5 02151,78882,02151
ZCTA5 02152,98901,02152
ZCTA5 02155,115048,02155
ZCTA5 02163,67969,02163
ZCTA5 02169,86335,02169
ZCTA5 02170,97362,02170
ZCTA5 02171,101013,02171
ZCTA5 02176,126305,02176
ZCTA5 02180,112935,02180
ZCTA5 02184,120593,02184
ZCTA5 02186,170144,02186
ZCTA5 02188,100650,02188
ZCTA5 02189,87314,02189
ZCTA5 02190,95891,02190
ZCTA5 02191,106596,02191
ZCTA5 02199,111786,02199
ZCTA5 02203,-666666666,02203
ZCTA5 02205,-666666666,02205
