name,address,primary_category,type,subtype,store_type,lat,lon,snap_eligible,geocode_source,TRACTCE
CVS Pharmacy 7684,1535 W 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09991,-80.10608,True,usda_snap,001100
CVS Pharmacy 11421,1216 W 6th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.11983,-80.11143,True,usda_snap,001000
CVS/Pharmacy 5098,330 W Columbus Ave,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.93403,-79.65372,True,usda_snap,011900
D & T s Market LLC  ,100 S Main St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,41.89352,-79.84875,True,usda_snap,012002
Darshan Friendly Mart NA,2244 Broad St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.12535,-80.04449,True,usda_snap,001600
Dees Next Door Deli & More  ,1707 State St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.11927,-80.0784,True,usda_snap,001300
Dk International Foods  ,2122 Buffalo Rd,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.13411,-80.02927,True,usda_snap,001500
DOLLAR GENERAL 7600,3785 Zimmerman Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.11814,-80.02493,True,usda_snap,002700
DOLLAR GENERAL 7108,10670 W Main Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.21031,-79.85025,True,usda_snap,011701
DOLLAR GENERAL 1335,714 East Ave,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.13607,-80.06245,True,usda_snap,000700
Dollar General 9037,1501 W 38th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.0898,-80.09789,True,usda_snap,003000
DOLLAR GENERAL 7910,2603 W 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.0893,-80.13119,True,usda_snap,010700
DOLLAR GENERAL 1495,10541 Route 6N,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.89094,-80.35103,True,usda_snap,010103
DOLLAR GENERAL 7705,5051 Peach St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.08038,-80.08979,True,usda_snap,011001
DOLLAR GENERAL 4965,2315 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.10416,-80.13367,True,usda_snap,012400
Dollar General 7151,824 State St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12658,-80.08398,True,usda_snap,000100
DOLLAR GENERAL 4653,12674 Route 19 S,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.93504,-79.98097,True,usda_snap,012100
DOLLAR GENERAL 2132,406 E Main St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.9213,-79.63345,True,usda_snap,011900
DOLLAR GENERAL 0270,1700 Peach St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1187,-80.08128,True,usda_snap,001200
DOLLAR GENERAL 4826,4669 Buffalo Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.14915,-79.997,True,usda_snap,011508
DOLLAR GENERAL  8477,7289 W Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.03552,-80.25105,True,usda_snap,010303
DOLLAR GENERAL 9655,605 Main St E,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.00529,-80.30945,True,usda_snap,010201
Dollar General 9327,3759 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09151,-80.16657,True,usda_snap,010500
Dollar General 10312,220 W Plum St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.8777,-80.13454,True,usda_snap,012202
Dollar General 10797,16320 Route 8,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.88948,-79.84727,True,usda_snap,012001
DOLLAR GENERAL 13937,5212 West Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.997,-80.14906,True,usda_snap,010301
DOLLAR GENERAL 14210,4682 E Lake Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.16509,-80.00664,True,usda_snap,011503
Dollar General 14462,13970 State Route 8,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.01325,-79.81573,True,usda_snap,011801
Dollar General 24702,405 W Columbus Ave,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.93445,-79.65843,True,usda_snap,011900
Dollar General 15315,7538 W Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.03062,-80.25633,True,usda_snap,010303
Dollar General 15290,406 E 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1152,-80.06476,True,usda_snap,001800
Dollar General 16852,8214 Perry Hwy,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.06473,-80.03519,True,usda_snap,011202
DOLLAR GENERAL 18426,13777 Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.94643,-80.47327,True,usda_snap,010101
DOLLAR GENERAL 18488,4972 Wattsburg Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1037,-80.02941,True,usda_snap,011101
Dollar General 19584,8948 Wattsburg Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.07217,-79.98364,True,usda_snap,011201
Dollar General 23983,2405 Buffalo Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.13631,-80.02371,True,usda_snap,001600
Dollar General 24932,5658 Station Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.18991,-79.83423,True,usda_snap,011702
Dollar General 25224,4203 W Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.07734,-80.16953,True,usda_snap,010902
Dollar General 24933,11224 Route 19 N,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.9759,-80.01028,True,usda_snap,012100
Dollar General 24934,  Edinboro Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.91541,-80.12501,True,usda_snap,012201
Dollar General 25587,2315 W 38th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.08276,-80.11894,True,usda_snap,011002
Dollar General 24519,8207 Meadville Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.95844,-80.33791,True,usda_snap,010202
Dollar General 30184,2570 Zimmerly Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.06488,-80.11563,True,usda_snap,011002
Dollar General 30272,8181 W Avonia Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.9979,-80.23416,True,usda_snap,010303
Dollar General 30272,8181 W Avonia Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.9979,-80.23416,True,usda_snap,010303
Dollar General #6151  ,7200 Peach St Unit 158,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.05413,-80.0867,True,usda_snap,011202
Dollar General Store 16722,1462 Lake St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.02022,-80.34528,True,usda_snap,010201
Dollar Tree 2153,3604 Buffalo Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.14206,-80.01147,True,usda_snap,011300
Dollar Tree 1862,3708 Liberty St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09644,-80.08562,True,usda_snap,002300
Dollar Tree 6565,9149 Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.00827,-80.30125,True,usda_snap,010202
Dollar Tree 6715,2036 E 38th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1188,-80.02377,True,usda_snap,002700
Dollar Tree 4659,2211 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.10375,-80.13108,True,usda_snap,012400
Dollar Tree 426,1914 Keystone Dr,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.05806,-80.08562,True,usda_snap,011202
Dollar Tree 6152,954 E 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12001,-80.05174,True,usda_snap,001700
Dollar Tree 7289,206 W Broadway,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.88121,-80.15548,True,usda_snap,012201
DOLLARTREE 8540,4234 W Ridge Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.07744,-80.17086,True,usda_snap,010902
DOLLARTREE 10289,1520 W 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1011,-80.10478,True,usda_snap,001100
DOLLARTREE 10322,2070 Interchange Rd.,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.06551,-80.10049,True,usda_snap,011002
DOLLY MADISON BAKERY  832,2616 W 12th St,Food & Grocery,Bakery Specialty,Bakery Specialty,Bakery Specialty,42.10213,-80.13931,True,usda_snap,012400
Downtown Deli  ,1017 State St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1249,-80.08218,True,usda_snap,000100
Eagle Market  ,2411 Parade St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.11671,-80.06599,True,usda_snap,001800
EAST AVENUE MARKET  ,826 East Ave,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.13496,-80.06128,True,usda_snap,000700
East Avenue Speed Check  ,1001 East Ave,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13349,-80.06021,True,usda_snap,000500
East Lake Market LLC  ,1402 E Lake Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.14111,-80.05547,True,usda_snap,000600
East Lake Speed Check 2,1150 E Lake Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13977,-80.05927,True,usda_snap,000500
Eastside Mini Mart  ,2928 French St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10922,-80.07009,True,usda_snap,002500
Eats & Arts  ,350 E 6th St,Food & Grocery,Farmers' Market,Farmers' Market,Farmers' Market,42.13247,-80.07717,True,usda_snap,000800
ECKERD DRUGS  6193,404 E 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.11519,-80.06486,True,usda_snap,001800
ECKERD DRUGS  6286,2184 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.10543,-80.13051,True,usda_snap,000200
EDINBORO GIANT EAGLE  630,606 ERIE STREET,Food & Grocery,Supermarket,Supermarket,Supermarket,41.88884,-80.12762,True,usda_snap,012202
"Edinboro Market, Inc.  ",109 Erie St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,41.87471,-80.13259,True,usda_snap,012202
Edinboro Standalone Supermarket 2470,606 Erie St,Food & Grocery,Super Store,Super Store,Super Store,41.88895,-80.12645,True,usda_snap,012202
"ELK CREEK SPORTS STORE, INC.  ",10543 Old Lake Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.02277,-80.3588,True,usda_snap,010201
Erie Convenaice Store Llc  ,363 W 4th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12822,-80.09483,True,usda_snap,000300
ERIE COUNTY FARMS  ,2256 Broad St,Food & Grocery,Super Store,Super Store,Super Store,42.12637,-80.04376,True,usda_snap,001600
Erie County Market Llc 1,2256 Broad St,Food & Grocery,Supermarket,Supermarket,Supermarket,42.12558,-80.04321,True,usda_snap,001600
"Erie Friendly Mart, Llc  ",2244 Broad St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.12524,-80.04406,True,usda_snap,001600
Erie International Food  ,660 E 12th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12907,-80.06623,True,usda_snap,000700
ERIE ORIENTAL MARKET  ,2720 Peach St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.10807,-80.07607,True,usda_snap,002400
Erie Quick Mart  ,603 W 26th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10672,-80.08691,True,usda_snap,002300
ERIE SAUSAGE AND DELI  ,2340 E 38th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.12115,-80.0152,True,usda_snap,002700
Erie Save-a-lot 24751,2026 Broad St,Food & Grocery,Supermarket,Supermarket,Supermarket,42.12722,-80.04427,True,usda_snap,001600
Erie Speed Check  ,209 E 6th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.131,-80.08098,True,usda_snap,000800
EUROPA DELICATESSEN  ,962 Brown Ave,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.1077,-80.09645,True,usda_snap,002000
Europa Delicatessen  ,2404 Peach St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.11289,-80.07628,True,usda_snap,001900
Europa Delicatessen Ii  ,4115 W Ridge Rd,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.07843,-80.16713,True,usda_snap,010902
Everest Supermarket  ,2122 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13409,-80.02928,True,usda_snap,001500
F&t Convenient Food Mart Llc  ,2001 E 10th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.14188,-80.03806,True,usda_snap,000600
Fadak International Food Market  ,2601 Parade St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.11507,-80.06471,True,usda_snap,002600
Family Dollar 2970,2 N Main St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.89829,-79.84566,True,usda_snap,012002
Family Dollar 8316,2184 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.10543,-80.13051,True,usda_snap,000200
Family Dollar 8317,2923 W 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.08783,-80.13828,True,usda_snap,010800
Family Dollar 11810,450 W 8th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12368,-80.09434,True,usda_snap,000902
Family Dollar Store 1780,155 E 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12478,-80.07764,True,usda_snap,000100
Family Dollar Store 1760,2226 Broad St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12535,-80.04449,True,usda_snap,001600
Family Dollar Store 2784,370 W Columbus Ave,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.93393,-79.65435,True,usda_snap,011900
Family Dollar Store 2894,149 W Main St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.21277,-79.84419,True,usda_snap,011600
Family Dollar Store 3529,1530 W 26th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09997,-80.10753,True,usda_snap,001100
Family Dollar Store 3779,856 E 6th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.13649,-80.0663,True,usda_snap,000700
Family Dollar Store 5910,2307 State St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1144,-80.07481,True,usda_snap,001800
Family Dollar Store 11212,100 E State St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,41.89095,-80.36341,True,usda_snap,010107
FARRELL'S SUPERETTE  ,363 W 4th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1283,-80.09487,True,usda_snap,000300
Fashion  Spot  Enterprises Llc  ,858 E 6th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1371,-80.06661,True,usda_snap,000700
FAULKNER'S CNTRY MARKET  ,13580 Route 8 89,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.02322,-79.818,True,usda_snap,011801
"FLO-JOE'S, INC.  ",2001 E 10th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.14188,-80.03805,True,usda_snap,000600
Footies Mini Market  ,702 Parade St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13151,-80.07592,True,usda_snap,000800
Fresh Asian Minimart Llc 1,837 W 38th St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.09535,-80.08517,True,usda_snap,003000
G&g Ghotra Inc 102,2036 Broad St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12783,-80.04499,True,usda_snap,001600
G&R GROCERY  ,805 W 4th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.125,-80.1039,True,usda_snap,000300
G&R Grocery  ,805 W 4th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12499,-80.10393,True,usda_snap,000300
Galaxy Food Mart  ,1001 State St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12544,-80.08205,True,usda_snap,000100
Galaxy Food Mart 2  ,1010 State St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12504,-80.08272,True,usda_snap,000100
GARY'S SUPERETTE  ,4703 E Lake Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1652,-80.00636,True,usda_snap,011503
GARY'S VARIETY  ,2521 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13708,-80.02206,True,usda_snap,001600
Garys Variety  ,2521 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13734,-80.0215,True,usda_snap,001600
Get Go 3202,1655 W Bayfront Pkwy,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12099,-80.11316,True,usda_snap,000200
Get Go 3050,9165 Ridge Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.00907,-80.30344,True,usda_snap,010202
GETGO 3001,2906 W 26th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.08806,-80.13805,True,usda_snap,010800
GetGo 3001,2906 W 26th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.08806,-80.13805,True,usda_snap,010800
GetGo 3237,6400 Peach St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.05926,-80.09258,True,usda_snap,011202
GetGo 3090,6005 Knowledge Pkwy,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1124,-79.9776,True,usda_snap,011511
GetGo 3438,4307 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.14552,-80.00439,True,usda_snap,011508
GetGo  ,4307 Buffalo Road,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.14513,-80.00407,True,usda_snap,011508
GetGo 3050,8300 W Ridge Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.0223,-80.27379,True,usda_snap,010303
GetGo 3090,6005 Knowledge Pkwy,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.11864,-79.96571,True,usda_snap,011511
GetGo 3202,1655 W Bayfront Pkwy,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.11098,-80.1187,True,usda_snap,000200
GetGo 3237,6400 Peach St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.05906,-80.09335,True,usda_snap,011202
Ggs Management Inc  ,1505 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12915,-80.04238,True,usda_snap,001600
Ggs Management Inc  ,1505 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12915,-80.04238,True,usda_snap,001600
GGs Mini Market  ,702 Parade St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.13151,-80.07592,True,usda_snap,000800
Ghotra Food Market  ,1505 Buffalo Rd,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.1292,-80.04222,True,usda_snap,001600
Giant Eagle 4050,9125 W Ridge Rd,Food & Grocery,Super Store,Super Store,Super Store,42.00966,-80.30242,True,usda_snap,010202
GIANT EAGLE  4010,2877 W 26th St,Food & Grocery,Super Store,Super Store,Super Store,42.08823,-80.13723,True,usda_snap,010700
Giant Eagle 4038,4265 Buffalo Rd,Food & Grocery,Super Store,Super Store,Super Store,42.14367,-80.00419,True,usda_snap,011508
Giant Eagle 4093,2501 W  12th St,Food & Grocery,Super Store,Super Store,Super Store,42.10294,-80.13697,True,usda_snap,012400
GIANT EAGLE 4090,7200 Peach St,Food & Grocery,Super Store,Super Store,Super Store,42.05413,-80.0867,True,usda_snap,011202
Giant Eagle 4237,2067 Interchange Rd,Food & Grocery,Super Store,Super Store,Super Store,42.06472,-80.10171,True,usda_snap,011002
"Global Market Of Pa, Llc  ",718 East Ave,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.1361,-80.06205,True,usda_snap,000700
Good Cents Grocery & More 5510,1338 E Grandview Blvd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10717,-80.03153,True,usda_snap,002700
Good Cents Grocery & More 5511,1022 W Erie Plz,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10591,-80.13319,True,usda_snap,012400
Goodell Gardens Farmers Market  ,221 Waterford St,Food & Grocery,Farmers' Market,Farmers' Market,Farmers' Market,41.87676,-80.12298,True,usda_snap,012202
Goodell Gardens Farmers Market  ,221 Waterford St,Food & Grocery,Farmers' Market,Farmers' Market,Farmers' Market,41.87676,-80.12298,True,usda_snap,012202
Gordon Food Service Store MP120,6740 Peach St,Food & Grocery,Supermarket,Supermarket,Supermarket,42.05636,-80.09114,True,usda_snap,011202
Gordon's Butcher & Market ,34 N Park Row,Food & Grocery,Large Grocery Store,Large Grocery Store,Large Grocery Store,42.12965,-80.08638,True,usda_snap,000100
Gordon's Butcher & Market  ,4815 Peach St,Food & Grocery,Supermarket,Supermarket,Supermarket,42.08284,-80.08886,True,usda_snap,011001
Gordon's Market  ,4815 Peach St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.08283,-80.08885,True,usda_snap,011001
GORDON'S MEAT MARKET  ,5037 Peach St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.08013,-80.09073,True,usda_snap,011001
Gore's Convience Store  ,1140 E Lake Rd,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.13931,-80.05983,True,usda_snap,000500
Gorkha Grocery  ,448 E 13th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.12658,-80.07043,True,usda_snap,001400
Green Oasis  ,1218 E 38th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.1123,-80.03948,True,usda_snap,002700
Greengarden Shell  ,1502 Greengarden Road,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10787,-80.11439,True,usda_snap,001100
Gregorios Deli And Pizza Co  ,3802 Elmwood Ave,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09232,-80.09288,True,usda_snap,003000
"GRETTLER MEATS, INC.  ",10445 Ridge Rd,Food & Grocery,Meat/Poultry Specialty,Meat/Poultry Specialty,Meat/Poultry Specialty,41.99212,-80.34828,True,usda_snap,010202
GRUZOSKY'S STORE INC  ,13257 W Lake Rd,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,41.96777,-80.45544,True,usda_snap,010101
H & A Convenience Store  ,3704 Pine Ave,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.10886,-80.05118,True,usda_snap,002800
"Halal Eats, Llc  ",1003 E 25th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.12088,-80.05168,True,usda_snap,001700
Hamdi Halal Market  ,601 Brown Ave,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.11186,-80.09026,True,usda_snap,002000
Hani Market  ,1027 State St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12522,-80.0824,True,usda_snap,000100
Harborcreek Shurfine Marketplace  ,6992 Buffalo Rd,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.17123,-79.94804,True,usda_snap,011509
Harkirpa 0,363 W 4th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12832,-80.09482,True,usda_snap,000300
Harkirpa 0,363 W 4th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12832,-80.09482,True,usda_snap,000300
HENRY LEE'S  ,1825 Buffalo Rd,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.13135,-80.03647,True,usda_snap,001600
Herb And Honey Bakery  ,310 E 24th St,Food & Grocery,Bakery Specialty,Bakery Specialty,Bakery Specialty,42.11637,-80.06828,True,usda_snap,001800
Hill Top Mart Llc ,2523 Peach St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.11179,-80.07494,True,usda_snap,001900
Himalaya Market  ,448 E 13th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12657,-80.07045,True,usda_snap,001400
Himalayan Groceries Llc  ,418 E 21st St,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Medium Grocery Store,42.11977,-80.06718,True,usda_snap,001300
Homegrown Natural Foods/ Fresh Picked  ,36 W Main St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.21555,-79.83634,True,usda_snap,011600
Honey House Holistic Bakery  ,1210 W. 26th St.,Food & Grocery,Bakery Specialty,Bakery Specialty,Bakery Specialty,42.10233,-80.09982,True,usda_snap,001100
HUNTER'S CONVENIENCE STORE  ,560 E 21st St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12085,-80.06337,True,usda_snap,001300
I & M Convenience Store  ,561 E 12th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.1281,-80.06808,True,usda_snap,001400
"Indian Minimart, Llc  ",132 W 9th St,Food & Grocery,Convenience Store,Convenience Store,Convenience Store,42.12583,-80.08546,True,usda_snap,000100
International Bazaar  ,3305 Liberty St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.09997,-80.08627,True,usda_snap,002300
International Market  ,261 E 28th St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.11241,-80.06646,True,usda_snap,002500
Ishtar Grocery  ,1106 Parade St,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.12747,-80.07327,True,usda_snap,000800
Ishtar Market  ,2416 Peach St Apt 1,Food & Grocery,Small Grocery Store,Small Grocery Store,Small Grocery Store,42.11295,-80.07606,True,usda_snap,001900
J & D's Dent & Bent  ,2755 W 12th St,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Combination Grocery/Other,42.10071,-80.14291,True,usda_snap,012400
