tract_name,median_household_income,state_fips,county_fips,tract_code,year
Census Tract 2; Erie County; Pennsylvania,68884,42,049,000200,2022
Census Tract 3; Erie County; Pennsylvania,38205,42,049,000300,2022
Census Tract 4; Erie County; Pennsylvania,43580,42,049,000400,2022
Census Tract 5; Erie County; Pennsylvania,33154,42,049,000500,2022
Census Tract 6; Erie County; Pennsylvania,42568,42,049,000600,2022
Census Tract 7; Erie County; Pennsylvania,34840,42,049,000700,2022
Census Tract 8; Erie County; Pennsylvania,23735,42,049,000800,2022
Census Tract 9.01; Erie County; Pennsylvania,21553,42,049,000901,2022
Census Tract 9.02; Erie County; Pennsylvania,19208,42,049,000902,2022
Census Tract 10; Erie County; Pennsylvania,38023,42,049,001000,2022
Census Tract 11; Erie County; Pennsylvania,50526,42,049,001100,2022
Census Tract 12; Erie County; Pennsylvania,24172,42,049,001200,2022
Census Tract 13; Erie County; Pennsylvania,22439,42,049,001300,2022
Census Tract 14; Erie County; Pennsylvania,16927,42,049,001400,2022
Census Tract 15; Erie County; Pennsylvania,24697,42,049,001500,2022
Census Tract 16; Erie County; Pennsylvania,43101,42,049,001600,2022
Census Tract 17; Erie County; Pennsylvania,45525,42,049,001700,2022
Census Tract 18; Erie County; Pennsylvania,29351,42,049,001800,2022
Census Tract 19; Erie County; Pennsylvania,22219,42,049,001900,2022
Census Tract 20; Erie County; Pennsylvania,50750,42,049,002000,2022
Census Tract 21; Erie County; Pennsylvania,63117,42,049,002100,2022
Census Tract 22; Erie County; Pennsylvania,74175,42,049,002200,2022
Census Tract 23; Erie County; Pennsylvania,37609,42,049,002300,2022
Census Tract 24; Erie County; Pennsylvania,52155,42,049,002400,2022
Census Tract 25; Erie County; Pennsylvania,36120,42,049,002500,2022
Census Tract 26; Erie County; Pennsylvania,48929,42,049,002600,2022
Census Tract 27; Erie County; Pennsylvania,52220,42,049,002700,2022
Census Tract 28; Erie County; Pennsylvania,56559,42,049,002800,2022
Census Tract 29; Erie County; Pennsylvania,85592,42,049,002900,2022
Census Tract 30; Erie County; Pennsylvania,54630,42,049,003000,2022
Census Tract 101.01; Erie County; Pennsylvania,76028,42,049,010101,2022
Census Tract 101.03; Erie County; Pennsylvania,76467,42,049,010103,2022
Census Tract 101.04; Erie County; Pennsylvania,76500,42,049,010104,2022
Census Tract 101.07; Erie County; Pennsylvania,50156,42,049,010107,2022
Census Tract 101.08; Erie County; Pennsylvania,,42,049,010108,2022
Census Tract 102.01; Erie County; Pennsylvania,72155,42,049,010201,2022
Census Tract 102.02; Erie County; Pennsylvania,69775,42,049,010202,2022
Census Tract 103.01; Erie County; Pennsylvania,82813,42,049,010301,2022
Census Tract 103.03; Erie County; Pennsylvania,95091,42,049,010303,2022
Census Tract 103.04; Erie County; Pennsylvania,105000,42,049,010304,2022
Census Tract 104; Erie County; Pennsylvania,83444,42,049,010400,2022
Census Tract 105; Erie County; Pennsylvania,62552,42,049,010500,2022
Census Tract 107; Erie County; Pennsylvania,71713,42,049,010700,2022
