name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Marshalls,"6710, Peach Street, Erie, PA, 16509",Big Box,bigbox,42.0551119,-80.092779,139,92,246,7571606774,node,department_store,Marshalls,,openstreetmap,False
Middle East Market,"2702, Parade Street, Erie, PA, 16504",Full-Service,standard,42.1139672,-80.0646355,59,130,246,13526875032,node,supermarket,,,openstreetmap,False
Moe's Shop Rite,"407, East 24th Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1167196,-80.065719,156,163,175,7567776810,node,convenience,,,openstreetmap,False
NTL Warehouse,"1710, Greengarden Boulevard, Erie, PA, 16501",Big Box,bigbox,42.1050806,-80.114282,139,92,246,8698039686,node,wholesale,,,openstreetmap,False
One Stop Shop,"1029, Parade Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1281015,-80.072948,156,163,175,8171482010,node,convenience,,,openstreetmap,False
One-Mart,"420, East 26th Street, Erie, PA, 16504",Full-Service,standard,42.1156732,-80.0643837,59,130,246,13526885670,node,supermarket,,,openstreetmap,False
Oriental Minimart,"1218, East 38th Street, Erie, PA, 16504",Full-Service,standard,42.1125163,-80.0396311,59,130,246,7573082500,node,supermarket,,,openstreetmap,False
Orsini's Corner Market,"560, East 5th Street, Erie, PA, 16507",Full-Service,standard,42.1353856,-80.0729912,59,130,246,9864140297,node,supermarket,,,openstreetmap,False
Peace Market African Store,"1154, East 26th Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1218132,-80.0472594,156,163,175,7726708933,node,convenience,,,openstreetmap,False
Pennsylvania Market,"3325, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1405553,-80.0140571,156,163,175,11591839611,node,convenience,,,openstreetmap,False
Presque Isle Superette,"3108, West Lake Road, Erie, PA, 16505",Convenience & Fuel,convenience,42.1036324,-80.1563708,156,163,175,842720071,way,convenience,,,openstreetmap,False
Quick Mart,,Convenience & Fuel,convenience,41.6388459,-80.155928,156,163,175,1144218943,way,convenience,,,openstreetmap,False
Quick Stop,"408, West 18th Street, Erie, PA, 16502",Convenience & Fuel,convenience,42.1154926,-80.0869141,156,163,175,7896919028,node,convenience,,,openstreetmap,False
Quick Stop,"2119, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1338801,-80.0290355,156,163,175,12096932323,node,convenience,,,openstreetmap,False
RIDG-U-RAK,"120, South Lake Street, North East, PA, 16428",Big Box,bigbox,42.2113443,-79.8347549,139,92,246,8761189702,node,wholesale,,,openstreetmap,False
Rakan Market,"813, East Avenue, Erie, PA, 16503",Full-Service,standard,42.1353716,-80.0611998,59,130,246,7992901082,node,supermarket,,,openstreetmap,False
Ray's,,Full-Service,standard,41.6549839,-80.4076247,59,130,246,1330242168,way,supermarket,,,openstreetmap,False
Red Apple Food Mart,"3745, McClelland Avenue, Erie, PA, 16510",Convenience & Fuel,convenience,42.1211322,-80.0162574,156,163,175,3371382492,node,convenience,Red Apple Food Mart,,openstreetmap,False
