tract_name,median_household_income,state_fips,county_fips,tract_code,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,year,county_name
"Census Tract 108, Erie County, Pennsylvania",65885.0,42,049,010800,10.2,16.1,27.0,4.3,2021,Erie County
"Census Tract 109.02, Erie County, Pennsylvania",63735.0,42,049,010902,7.7,23.6,29.2,8.8,2021,Erie County
"Census Tract 109.03, Erie County, Pennsylvania",83899.0,42,049,010903,6.6,21.1,38.1,5.5,2021,Erie County
"Census Tract 109.04, Erie County, Pennsylvania",141298.0,42,049,010904,2.4,30.0,0.0,0.0,2021,Erie County
"Census Tract 110.01, Erie County, Pennsylvania",61417.0,42,049,011001,6.2,31.6,11.9,6.2,2021,Erie County
"Census Tract 110.02, Erie County, Pennsylvania",48164.0,42,049,011002,15.4,28.8,35.1,18.6,2021,Erie County
"Census Tract 111.01, Erie County, Pennsylvania",66985.0,42,049,011101,10.7,19.9,10.5,4.5,2021,Erie County
"Census Tract 111.02, Erie County, Pennsylvania",75900.0,42,049,011102,7.5,26.4,20.7,7.2,2021,Erie County
"Census Tract 112.01, Erie County, Pennsylvania",69107.0,42,049,011201,19.7,14.9,43.9,2.0,2021,Erie County
"Census Tract 112.02, Erie County, Pennsylvania",66502.0,42,049,011202,10.8,19.0,7.5,2.4,2021,Erie County
"Census Tract 113, Erie County, Pennsylvania",50284.0,42,049,011300,19.3,14.6,18.0,7.1,2021,Erie County
"Census Tract 114, Erie County, Pennsylvania",61232.0,42,049,011400,18.8,20.6,29.6,4.7,2021,Erie County
"Census Tract 115.03, Erie County, Pennsylvania",54779.0,42,049,011503,6.4,20.4,17.9,12.4,2021,Erie County
"Census Tract 115.08, Erie County, Pennsylvania",77645.0,42,049,011508,6.9,19.7,15.3,3.8,2021,Erie County
"Census Tract 115.09, Erie County, Pennsylvania",69142.0,42,049,011509,16.8,16.3,2.2,6.9,2021,Erie County
"Census Tract 115.10, Erie County, Pennsylvania",82138.0,42,049,011510,8.3,17.1,7.8,0.4,2021,Erie County
"Census Tract 115.11, Erie County, Pennsylvania",,42,049,011511,53.4,25.3,65.1,20.3,2021,Erie County
"Census Tract 116, Erie County, Pennsylvania",58336.0,42,049,011600,18.7,13.4,19.1,8.8,2021,Erie County
"Census Tract 117.01, Erie County, Pennsylvania",67583.0,42,049,011701,5.2,23.8,7.2,5.8,2021,Erie County
"Census Tract 117.02, Erie County, Pennsylvania",78080.0,42,049,011702,3.9,9.0,0.0,4.8,2021,Erie County
"Census Tract 118.01, Erie County, Pennsylvania",65543.0,42,049,011801,5.6,12.3,4.8,4.0,2021,Erie County
"Census Tract 118.02, Erie County, Pennsylvania",63381.0,42,049,011802,8.2,14.7,5.0,2.3,2021,Erie County
"Census Tract 119, Erie County, Pennsylvania",37192.0,42,049,011900,28.3,16.0,30.9,19.6,2021,Erie County
"Census Tract 120.01, Erie County, Pennsylvania",71125.0,42,049,012001,5.8,16.7,29.9,1.6,2021,Erie County
"Census Tract 120.02, Erie County, Pennsylvania",42292.0,42,049,012002,20.1,6.2,13.7,18.1,2021,Erie County
"Census Tract 121, Erie County, Pennsylvania",67955.0,42,049,012100,9.9,10.4,24.2,3.3,2021,Erie County
"Census Tract 122.01, Erie County, Pennsylvania",75673.0,42,049,012201,9.6,22.7,38.8,6.8,2021,Erie County
"Census Tract 122.02, Erie County, Pennsylvania",36695.0,42,049,012202,24.7,41.4,37.1,5.5,2021,Erie County
"Census Tract 124, Erie County, Pennsylvania",63424.0,42,049,012400,11.6,21.6,14.4,10.9,2021,Erie County
"Census Tract 1101, Crawford County, Pennsylvania",49515.0,42,039,110100,22.1,7.5,21.0,17.3,2021,Crawford County
"Census Tract 1102.01, Crawford County, Pennsylvania",65192.0,42,039,110201,5.0,17.4,2.6,2.6,2021,Crawford County
"Census Tract 1102.02, Crawford County, Pennsylvania",60996.0,42,039,110202,14.5,13.5,13.7,9.2,2021,Crawford County
"Census Tract 1103, Crawford County, Pennsylvania",54309.0,42,039,110300,16.0,10.2,20.6,8.9,2021,Crawford County
"Census Tract 1104, Crawford County, Pennsylvania",48359.0,42,039,110400,15.1,12.0,21.0,8.5,2021,Crawford County
"Census Tract 1105.01, Crawford County, Pennsylvania",71467.0,42,039,110501,6.2,13.6,23.1,4.4,2021,Crawford County
"Census Tract 1105.02, Crawford County, Pennsylvania",60360.0,42,039,110502,9.6,17.1,19.1,3.1,2021,Crawford County
"Census Tract 1106, Crawford County, Pennsylvania",63030.0,42,039,110600,5.1,11.9,4.9,3.7,2021,Crawford County
"Census Tract 1107, Crawford County, Pennsylvania",57891.0,42,039,110700,8.6,14.3,3.0,6.8,2021,Crawford County
"Census Tract 1108, Crawford County, Pennsylvania",65484.0,42,039,110800,10.6,13.8,11.2,4.5,2021,Crawford County
"Census Tract 1109, Crawford County, Pennsylvania",56563.0,42,039,110900,10.9,11.4,13.7,2.7,2021,Crawford County
"Census Tract 1110, Crawford County, Pennsylvania",48824.0,42,039,111000,21.8,8.5,17.5,5.2,2021,Crawford County
"Census Tract 1111, Crawford County, Pennsylvania",25353.0,42,039,111100,26.0,8.1,14.2,22.3,2021,Crawford County
"Census Tract 1112, Crawford County, Pennsylvania",44261.0,42,039,111200,19.0,13.6,13.4,11.8,2021,Crawford County
"Census Tract 1113, Crawford County, Pennsylvania",62132.0,42,039,111300,6.9,13.4,2.4,3.3,2021,Crawford County
"Census Tract 1114, Crawford County, Pennsylvania",75477.0,42,039,111400,15.3,21.2,12.1,7.1,2021,Crawford County
"Census Tract 1115, Crawford County, Pennsylvania",44451.0,42,039,111500,21.8,15.1,24.6,22.4,2021,Crawford County
"Census Tract 1116, Crawford County, Pennsylvania",29819.0,42,039,111600,26.2,10.2,23.8,33.2,2021,Crawford County
"Census Tract 1117, Crawford County, Pennsylvania",52396.0,42,039,111700,9.2,21.2,11.8,9.1,2021,Crawford County
"Census Tract 1118, Crawford County, Pennsylvania",68778.0,42,039,111800,1.8,10.9,10.8,3.2,2021,Crawford County
"Census Tract 1119, Crawford County, Pennsylvania",58670.0,42,039,111900,11.2,5.7,17.4,14.7,2021,Crawford County
"Census Tract 1120.01, Crawford County, Pennsylvania",56161.0,42,039,112001,6.0,8.5,7.4,3.0,2021,Crawford County
"Census Tract 1120.02, Crawford County, Pennsylvania",49250.0,42,039,112002,9.7,8.8,35.6,2.6,2021,Crawford County
Census Tract 1; Erie County; Pennsylvania,14648.0,42,049,000100,58.4,14.0,14.7,65.2,2022,Erie County
Census Tract 2; Erie County; Pennsylvania,68884.0,42,049,000200,9.3,23.4,31.9,11.2,2022,Erie County
Census Tract 3; Erie County; Pennsylvania,38205.0,42,049,000300,31.2,11.4,22.8,22.0,2022,Erie County
Census Tract 4; Erie County; Pennsylvania,43580.0,42,049,000400,31.1,17.3,15.6,17.9,2022,Erie County
Census Tract 5; Erie County; Pennsylvania,33154.0,42,049,000500,33.3,11.2,31.5,19.0,2022,Erie County
Census Tract 6; Erie County; Pennsylvania,42568.0,42,049,000600,31.9,15.3,33.2,14.0,2022,Erie County
Census Tract 7; Erie County; Pennsylvania,34840.0,42,049,000700,32.2,13.7,29.7,30.0,2022,Erie County
Census Tract 8; Erie County; Pennsylvania,23735.0,42,049,000800,42.4,10.1,35.9,28.4,2022,Erie County
Census Tract 9.01; Erie County; Pennsylvania,21553.0,42,049,000901,14.4,12.0,43.0,21.8,2022,Erie County
Census Tract 9.02; Erie County; Pennsylvania,19208.0,42,049,000902,57.0,22.5,40.3,39.3,2022,Erie County
Census Tract 10; Erie County; Pennsylvania,38023.0,42,049,001000,25.5,26.2,17.6,22.0,2022,Erie County
Census Tract 11; Erie County; Pennsylvania,50526.0,42,049,001100,19.1,12.5,16.1,11.6,2022,Erie County
Census Tract 12; Erie County; Pennsylvania,24172.0,42,049,001200,44.6,8.3,42.9,30.5,2022,Erie County
Census Tract 13; Erie County; Pennsylvania,22439.0,42,049,001300,53.9,5.8,50.1,33.7,2022,Erie County
Census Tract 14; Erie County; Pennsylvania,16927.0,42,049,001400,66.8,4.9,39.1,51.8,2022,Erie County
Census Tract 15; Erie County; Pennsylvania,24697.0,42,049,001500,40.7,12.8,10.7,45.8,2022,Erie County
Census Tract 16; Erie County; Pennsylvania,43101.0,42,049,001600,27.1,9.3,29.6,7.4,2022,Erie County
Census Tract 17; Erie County; Pennsylvania,45525.0,42,049,001700,20.6,3.5,30.1,19.7,2022,Erie County
Census Tract 18; Erie County; Pennsylvania,29351.0,42,049,001800,27.3,8.6,41.7,27.4,2022,Erie County
Census Tract 19; Erie County; Pennsylvania,22219.0,42,049,001900,36.0,7.3,32.2,44.5,2022,Erie County
Census Tract 20; Erie County; Pennsylvania,50750.0,42,049,002000,29.4,11.6,31.8,10.6,2022,Erie County
Census Tract 21; Erie County; Pennsylvania,63117.0,42,049,002100,6.2,22.9,21.4,0.5,2022,Erie County
Census Tract 22; Erie County; Pennsylvania,74175.0,42,049,002200,15.0,16.8,23.8,8.1,2022,Erie County
Census Tract 23; Erie County; Pennsylvania,37609.0,42,049,002300,16.1,8.4,33.1,9.8,2022,Erie County
Census Tract 24; Erie County; Pennsylvania,52155.0,42,049,002400,8.7,19.3,21.4,8.4,2022,Erie County
Census Tract 25; Erie County; Pennsylvania,36120.0,42,049,002500,29.1,21.1,34.9,17.0,2022,Erie County
Census Tract 26; Erie County; Pennsylvania,48929.0,42,049,002600,26.5,11.2,27.7,6.0,2022,Erie County
Census Tract 27; Erie County; Pennsylvania,52220.0,42,049,002700,6.1,11.5,9.2,6.2,2022,Erie County
Census Tract 28; Erie County; Pennsylvania,56559.0,42,049,002800,17.9,26.6,27.9,7.3,2022,Erie County
Census Tract 29; Erie County; Pennsylvania,85592.0,42,049,002900,4.0,28.9,8.5,2.8,2022,Erie County
Census Tract 30; Erie County; Pennsylvania,54630.0,42,049,003000,11.3,18.9,15.1,8.5,2022,Erie County
Census Tract 101.01; Erie County; Pennsylvania,76028.0,42,049,010101,14.3,12.6,18.1,3.1,2022,Erie County
Census Tract 101.03; Erie County; Pennsylvania,76467.0,42,049,010103,10.4,11.3,23.5,2.8,2022,Erie County
Census Tract 101.04; Erie County; Pennsylvania,76500.0,42,049,010104,6.6,18.7,10.6,2.4,2022,Erie County
Census Tract 101.07; Erie County; Pennsylvania,50156.0,42,049,010107,12.7,11.9,20.5,15.8,2022,Erie County
Census Tract 101.08; Erie County; Pennsylvania,,42,049,010108,,2.3,,,2022,Erie County
Census Tract 102.01; Erie County; Pennsylvania,72155.0,42,049,010201,7.7,17.2,12.7,4.9,2022,Erie County
Census Tract 102.02; Erie County; Pennsylvania,69775.0,42,049,010202,11.1,17.9,28.5,4.1,2022,Erie County
Census Tract 103.01; Erie County; Pennsylvania,82813.0,42,049,010301,8.6,18.6,6.6,6.0,2022,Erie County
Census Tract 103.03; Erie County; Pennsylvania,95091.0,42,049,010303,4.2,25.3,32.5,5.5,2022,Erie County
Census Tract 103.04; Erie County; Pennsylvania,105000.0,42,049,010304,3.0,29.4,31.6,4.8,2022,Erie County
Census Tract 104; Erie County; Pennsylvania,83444.0,42,049,010400,10.4,27.2,27.6,2.1,2022,Erie County
Census Tract 105; Erie County; Pennsylvania,62552.0,42,049,010500,10.8,28.5,46.3,3.5,2022,Erie County
Census Tract 107; Erie County; Pennsylvania,71713.0,42,049,010700,6.8,20.1,22.8,1.7,2022,Erie County
Census Tract 108; Erie County; Pennsylvania,72299.0,42,049,010800,11.6,17.7,31.0,4.9,2022,Erie County
Census Tract 109.02; Erie County; Pennsylvania,67697.0,42,049,010902,8.1,21.2,26.4,8.5,2022,Erie County
Census Tract 109.03; Erie County; Pennsylvania,93058.0,42,049,010903,6.4,25.7,32.8,5.6,2022,Erie County
Census Tract 109.04; Erie County; Pennsylvania,151964.0,42,049,010904,3.1,29.0,0.0,0.4,2022,Erie County
Census Tract 110.01; Erie County; Pennsylvania,61250.0,42,049,011001,5.5,29.1,9.1,8.2,2022,Erie County
Census Tract 110.02; Erie County; Pennsylvania,59059.0,42,049,011002,10.2,26.9,34.6,17.5,2022,Erie County
Census Tract 111.01; Erie County; Pennsylvania,71629.0,42,049,011101,12.6,17.7,18.1,11.3,2022,Erie County
Census Tract 111.02; Erie County; Pennsylvania,81184.0,42,049,011102,8.7,29.7,18.8,5.9,2022,Erie County
Census Tract 112.01; Erie County; Pennsylvania,70833.0,42,049,011201,19.8,14.4,42.3,2.4,2022,Erie County
Census Tract 112.02; Erie County; Pennsylvania,69577.0,42,049,011202,11.8,17.9,15.4,3.4,2022,Erie County
Census Tract 113; Erie County; Pennsylvania,44417.0,42,049,011300,19.4,15.7,20.2,8.6,2022,Erie County
Census Tract 114; Erie County; Pennsylvania,64375.0,42,049,011400,20.1,22.4,31.2,5.4,2022,Erie County
Census Tract 115.03; Erie County; Pennsylvania,64327.0,42,049,011503,6.0,19.4,16.1,11.5,2022,Erie County
Census Tract 115.08; Erie County; Pennsylvania,84367.0,42,049,011508,7.6,20.3,10.8,3.4,2022,Erie County
Census Tract 115.09; Erie County; Pennsylvania,62849.0,42,049,011509,16.7,12.2,2.8,4.3,2022,Erie County
Census Tract 115.10; Erie County; Pennsylvania,77361.0,42,049,011510,6.2,17.0,5.1,1.2,2022,Erie County
Census Tract 115.11; Erie County; Pennsylvania,,42,049,011511,44.4,28.7,59.1,24.6,2022,Erie County
Census Tract 116; Erie County; Pennsylvania,61643.0,42,049,011600,17.1,16.5,12.5,10.7,2022,Erie County
Census Tract 117.01; Erie County; Pennsylvania,71417.0,42,049,011701,6.0,23.6,9.8,6.8,2022,Erie County
Census Tract 117.02; Erie County; Pennsylvania,77306.0,42,049,011702,6.5,8.9,0.0,6.4,2022,Erie County
Census Tract 118.01; Erie County; Pennsylvania,67008.0,42,049,011801,8.3,18.5,10.7,2.4,2022,Erie County
Census Tract 118.02; Erie County; Pennsylvania,68170.0,42,049,011802,8.0,16.4,5.4,3.0,2022,Erie County
Census Tract 119; Erie County; Pennsylvania,44138.0,42,049,011900,25.5,16.3,28.8,15.0,2022,Erie County
Census Tract 120.01; Erie County; Pennsylvania,76875.0,42,049,012001,5.8,16.1,26.7,1.9,2022,Erie County
Census Tract 120.02; Erie County; Pennsylvania,41764.0,42,049,012002,23.3,7.3,12.3,13.3,2022,Erie County
Census Tract 121; Erie County; Pennsylvania,69012.0,42,049,012100,8.3,9.8,26.6,3.1,2022,Erie County
Census Tract 122.01; Erie County; Pennsylvania,82765.0,42,049,012201,8.5,23.2,33.6,4.3,2022,Erie County
Census Tract 122.02; Erie County; Pennsylvania,39102.0,42,049,012202,26.6,39.5,40.3,6.1,2022,Erie County
Census Tract 124; Erie County; Pennsylvania,59091.0,42,049,012400,10.6,21.8,4.4,9.1,2022,Erie County
Census Tract 1101; Crawford County; Pennsylvania,53487.0,42,039,110100,22.6,7.9,19.8,19.0,2022,Crawford County
Census Tract 1102.01; Crawford County; Pennsylvania,69832.0,42,039,110201,5.5,16.1,3.6,2.8,2022,Crawford County
Census Tract 1102.02; Crawford County; Pennsylvania,65708.0,42,039,110202,15.3,12.8,8.7,10.2,2022,Crawford County
Census Tract 1103; Crawford County; Pennsylvania,56707.0,42,039,110300,16.1,8.5,25.9,8.4,2022,Crawford County
Census Tract 1104; Crawford County; Pennsylvania,51078.0,42,039,110400,12.5,12.1,19.4,6.9,2022,Crawford County
Census Tract 1105.01; Crawford County; Pennsylvania,66985.0,42,039,110501,6.4,12.0,18.7,4.1,2022,Crawford County
Census Tract 1105.02; Crawford County; Pennsylvania,59630.0,42,039,110502,11.5,18.4,19.0,4.7,2022,Crawford County
Census Tract 1106; Crawford County; Pennsylvania,70121.0,42,039,110600,4.1,11.3,0.0,5.1,2022,Crawford County
Census Tract 1107; Crawford County; Pennsylvania,63958.0,42,039,110700,9.0,15.7,2.9,5.6,2022,Crawford County
Census Tract 1108; Crawford County; Pennsylvania,69643.0,42,039,110800,11.5,14.0,10.0,5.2,2022,Crawford County
Census Tract 1109; Crawford County; Pennsylvania,63897.0,42,039,110900,11.8,9.9,16.2,1.6,2022,Crawford County
Census Tract 1110; Crawford County; Pennsylvania,52692.0,42,039,111000,15.3,7.2,6.7,7.4,2022,Crawford County
Census Tract 1111; Crawford County; Pennsylvania,25164.0,42,039,111100,26.3,5.9,14.9,24.8,2022,Crawford County
Census Tract 1112; Crawford County; Pennsylvania,46619.0,42,039,111200,20.6,11.6,25.7,16.9,2022,Crawford County
Census Tract 1113; Crawford County; Pennsylvania,66475.0,42,039,111300,7.9,13.3,9.0,3.7,2022,Crawford County
Census Tract 1114; Crawford County; Pennsylvania,77042.0,42,039,111400,8.6,22.2,7.8,4.3,2022,Crawford County
Census Tract 1115; Crawford County; Pennsylvania,49634.0,42,039,111500,20.1,15.8,25.2,19.2,2022,Crawford County
Census Tract 1116; Crawford County; Pennsylvania,35017.0,42,039,111600,24.8,11.8,17.6,28.8,2022,Crawford County
Census Tract 1117; Crawford County; Pennsylvania,56538.0,42,039,111700,6.9,22.9,14.9,10.8,2022,Crawford County
Census Tract 1118; Crawford County; Pennsylvania,70615.0,42,039,111800,1.4,13.4,9.1,3.0,2022,Crawford County
Census Tract 1119; Crawford County; Pennsylvania,62957.0,42,039,111900,13.2,6.2,15.5,16.6,2022,Crawford County
Census Tract 1120.01; Crawford County; Pennsylvania,65000.0,42,039,112001,8.5,8.5,9.0,3.0,2022,Crawford County
Census Tract 1120.02; Crawford County; Pennsylvania,49342.0,42,039,112002,10.2,8.0,16.9,3.7,2022,Crawford County
Census Tract 1; Erie County; Pennsylvania,14846.0,42,049,000100,55.7,14.3,13.2,65.5,2023,Erie County
Census Tract 2; Erie County; Pennsylvania,73333.0,42,049,000200,6.8,23.9,29.6,9.8,2023,Erie County
Census Tract 3; Erie County; Pennsylvania,36235.0,42,049,000300,30.6,15.2,24.9,22.0,2023,Erie County
Census Tract 4; Erie County; Pennsylvania,38750.0,42,049,000400,29.5,13.8,15.6,19.2,2023,Erie County
Census Tract 5; Erie County; Pennsylvania,33547.0,42,049,000500,29.3,11.5,31.8,23.6,2023,Erie County
Census Tract 6; Erie County; Pennsylvania,46679.0,42,049,000600,25.4,16.1,29.5,16.9,2023,Erie County
Census Tract 7; Erie County; Pennsylvania,35161.0,42,049,000700,36.6,11.3,22.6,38.8,2023,Erie County
Census Tract 8; Erie County; Pennsylvania,27917.0,42,049,000800,35.6,9.1,37.0,23.3,2023,Erie County
Census Tract 9.01; Erie County; Pennsylvania,27243.0,42,049,000901,11.0,11.0,33.7,22.6,2023,Erie County
Census Tract 9.02; Erie County; Pennsylvania,20721.0,42,049,000902,47.3,21.7,34.0,47.6,2023,Erie County
Census Tract 10; Erie County; Pennsylvania,43750.0,42,049,001000,27.3,24.8,16.8,27.6,2023,Erie County
Census Tract 11; Erie County; Pennsylvania,47000.0,42,049,001100,29.9,11.4,10.3,5.8,2023,Erie County
Census Tract 12; Erie County; Pennsylvania,24747.0,42,049,001200,44.2,5.7,34.7,35.3,2023,Erie County
Census Tract 13; Erie County; Pennsylvania,24911.0,42,049,001300,55.8,6.7,46.3,35.1,2023,Erie County
Census Tract 14; Erie County; Pennsylvania,16435.0,42,049,001400,72.8,3.7,30.8,48.9,2023,Erie County
Census Tract 15; Erie County; Pennsylvania,26650.0,42,049,001500,41.8,9.2,14.6,40.1,2023,Erie County
Census Tract 16; Erie County; Pennsylvania,39397.0,42,049,001600,35.6,12.7,17.0,6.0,2023,Erie County
Census Tract 17; Erie County; Pennsylvania,44657.0,42,049,001700,31.4,1.3,48.7,20.0,2023,Erie County
Census Tract 18; Erie County; Pennsylvania,28426.0,42,049,001800,27.5,14.5,50.3,28.3,2023,Erie County
Census Tract 19; Erie County; Pennsylvania,22050.0,42,049,001900,47.8,7.3,31.5,45.1,2023,Erie County
Census Tract 20; Erie County; Pennsylvania,50839.0,42,049,002000,31.4,10.8,28.5,13.1,2023,Erie County
Census Tract 21; Erie County; Pennsylvania,62972.0,42,049,002100,2.6,22.6,18.7,2.4,2023,Erie County
Census Tract 22; Erie County; Pennsylvania,73523.0,42,049,002200,17.8,17.1,27.4,8.8,2023,Erie County
Census Tract 23; Erie County; Pennsylvania,35692.0,42,049,002300,18.8,9.0,27.0,7.9,2023,Erie County
Census Tract 24; Erie County; Pennsylvania,50625.0,42,049,002400,18.0,16.9,30.6,7.4,2023,Erie County
Census Tract 25; Erie County; Pennsylvania,46033.0,42,049,002500,21.0,17.1,31.6,22.0,2023,Erie County
Census Tract 26; Erie County; Pennsylvania,53639.0,42,049,002600,17.3,14.6,30.6,2.4,2023,Erie County
Census Tract 27; Erie County; Pennsylvania,57292.0,42,049,002700,7.0,12.6,10.9,4.7,2023,Erie County
Census Tract 28; Erie County; Pennsylvania,61438.0,42,049,002800,12.3,23.2,25.2,6.9,2023,Erie County
Census Tract 29; Erie County; Pennsylvania,95395.0,42,049,002900,3.6,28.0,6.7,1.9,2023,Erie County
Census Tract 30; Erie County; Pennsylvania,54120.0,42,049,003000,15.4,19.7,26.1,10.9,2023,Erie County
Census Tract 101.01; Erie County; Pennsylvania,81296.0,42,049,010101,14.3,12.9,9.0,2.5,2023,Erie County
Census Tract 101.03; Erie County; Pennsylvania,73750.0,42,049,010103,12.4,9.0,25.0,4.2,2023,Erie County
Census Tract 101.04; Erie County; Pennsylvania,81250.0,42,049,010104,5.4,19.3,13.6,2.2,2023,Erie County
Census Tract 101.07; Erie County; Pennsylvania,54083.0,42,049,010107,12.7,12.4,20.0,18.4,2023,Erie County
Census Tract 101.08; Erie County; Pennsylvania,,42,049,010108,,2.8,,,2023,Erie County
Census Tract 102.01; Erie County; Pennsylvania,74886.0,42,049,010201,8.2,17.8,16.1,6.3,2023,Erie County
Census Tract 102.02; Erie County; Pennsylvania,77627.0,42,049,010202,8.2,18.6,39.8,4.2,2023,Erie County
Census Tract 103.01; Erie County; Pennsylvania,86544.0,42,049,010301,6.2,19.2,2.3,5.7,2023,Erie County
Census Tract 103.03; Erie County; Pennsylvania,95440.0,42,049,010303,6.1,23.2,21.0,4.0,2023,Erie County
Census Tract 103.04; Erie County; Pennsylvania,114250.0,42,049,010304,3.7,28.6,25.0,4.6,2023,Erie County
Census Tract 104; Erie County; Pennsylvania,85223.0,42,049,010400,9.6,27.6,30.8,3.1,2023,Erie County
Census Tract 105; Erie County; Pennsylvania,64762.0,42,049,010500,10.8,30.4,55.1,3.1,2023,Erie County
Census Tract 107; Erie County; Pennsylvania,76602.0,42,049,010700,7.8,18.9,17.2,0.9,2023,Erie County
Census Tract 108; Erie County; Pennsylvania,73925.0,42,049,010800,9.9,16.3,28.6,5.9,2023,Erie County
Census Tract 109.02; Erie County; Pennsylvania,70142.0,42,049,010902,9.4,21.3,25.0,7.0,2023,Erie County
Census Tract 109.03; Erie County; Pennsylvania,91955.0,42,049,010903,8.5,23.9,25.9,5.4,2023,Erie County
Census Tract 109.04; Erie County; Pennsylvania,155474.0,42,049,010904,3.1,28.4,0.0,0.4,2023,Erie County
Census Tract 110.01; Erie County; Pennsylvania,61838.0,42,049,011001,5.6,28.4,10.4,10.3,2023,Erie County
Census Tract 110.02; Erie County; Pennsylvania,47772.0,42,049,011002,11.9,22.6,38.3,19.2,2023,Erie County
Census Tract 111.01; Erie County; Pennsylvania,75396.0,42,049,011101,10.1,18.5,16.0,9.7,2023,Erie County
Census Tract 111.02; Erie County; Pennsylvania,82456.0,42,049,011102,7.9,30.9,15.8,6.4,2023,Erie County
Census Tract 112.01; Erie County; Pennsylvania,78042.0,42,049,011201,19.7,14.8,47.8,1.7,2023,Erie County
Census Tract 112.02; Erie County; Pennsylvania,70542.0,42,049,011202,10.7,18.7,16.2,4.8,2023,Erie County
Census Tract 113; Erie County; Pennsylvania,46506.0,42,049,011300,17.8,18.3,18.5,4.1,2023,Erie County
Census Tract 114; Erie County; Pennsylvania,71281.0,42,049,011400,14.9,24.9,47.1,2.8,2023,Erie County
Census Tract 115.03; Erie County; Pennsylvania,81571.0,42,049,011503,3.8,18.9,13.8,9.5,2023,Erie County
Census Tract 115.08; Erie County; Pennsylvania,91719.0,42,049,011508,7.1,20.3,11.7,1.4,2023,Erie County
Census Tract 115.09; Erie County; Pennsylvania,65960.0,42,049,011509,17.3,16.5,0.0,5.1,2023,Erie County
Census Tract 115.10; Erie County; Pennsylvania,81250.0,42,049,011510,5.1,16.0,0.0,1.0,2023,Erie County
Census Tract 115.11; Erie County; Pennsylvania,,42,049,011511,35.7,19.7,7.4,38.1,2023,Erie County
Census Tract 116; Erie County; Pennsylvania,67469.0,42,049,011600,16.0,16.9,10.7,9.9,2023,Erie County
Census Tract 117.01; Erie County; Pennsylvania,74223.0,42,049,011701,8.7,22.3,13.0,7.4,2023,Erie County
Census Tract 117.02; Erie County; Pennsylvania,84539.0,42,049,011702,7.8,10.7,0.0,5.5,2023,Erie County
Census Tract 118.01; Erie County; Pennsylvania,68750.0,42,049,011801,8.1,16.1,15.3,2.0,2023,Erie County
Census Tract 118.02; Erie County; Pennsylvania,70966.0,42,049,011802,13.1,15.9,9.7,2.1,2023,Erie County
Census Tract 119; Erie County; Pennsylvania,45081.0,42,049,011900,29.2,20.2,28.3,16.0,2023,Erie County
Census Tract 120.01; Erie County; Pennsylvania,77885.0,42,049,012001,5.9,16.1,12.7,3.2,2023,Erie County
Census Tract 120.02; Erie County; Pennsylvania,42754.0,42,049,012002,21.0,8.1,10.9,13.9,2023,Erie County
Census Tract 121; Erie County; Pennsylvania,71865.0,42,049,012100,10.2,12.1,27.4,1.5,2023,Erie County
Census Tract 122.01; Erie County; Pennsylvania,81250.0,42,049,012201,8.0,23.3,15.2,2.1,2023,Erie County
Census Tract 122.02; Erie County; Pennsylvania,40862.0,42,049,012202,24.6,43.3,43.7,5.6,2023,Erie County
Census Tract 124; Erie County; Pennsylvania,60278.0,42,049,012400,10.5,19.1,11.8,9.4,2023,Erie County
Census Tract 1101; Crawford County; Pennsylvania,56750.0,42,039,110100,19.7,7.4,23.4,18.9,2023,Crawford County
Census Tract 1102.01; Crawford County; Pennsylvania,74730.0,42,039,110201,6.6,14.6,6.7,2.5,2023,Crawford County
Census Tract 1102.02; Crawford County; Pennsylvania,67940.0,42,039,110202,13.9,13.6,8.1,9.1,2023,Crawford County
Census Tract 1103; Crawford County; Pennsylvania,57426.0,42,039,110300,17.9,9.5,25.4,9.5,2023,Crawford County
Census Tract 1104; Crawford County; Pennsylvania,57548.0,42,039,110400,9.4,13.2,21.7,5.4,2023,Crawford County
Census Tract 1105.01; Crawford County; Pennsylvania,63884.0,42,039,110501,6.7,10.1,9.7,3.8,2023,Crawford County
Census Tract 1105.02; Crawford County; Pennsylvania,59867.0,42,039,110502,11.2,19.6,12.1,4.7,2023,Crawford County
Census Tract 1106; Crawford County; Pennsylvania,74406.0,42,039,110600,5.9,12.9,8.0,5.8,2023,Crawford County
Census Tract 1107; Crawford County; Pennsylvania,66146.0,42,039,110700,8.8,16.3,4.9,5.3,2023,Crawford County
Census Tract 1108; Crawford County; Pennsylvania,73542.0,42,039,110800,11.4,14.5,16.6,5.0,2023,Crawford County
Census Tract 1109; Crawford County; Pennsylvania,68090.0,42,039,110900,11.6,12.0,19.2,2.0,2023,Crawford County
Census Tract 1110; Crawford County; Pennsylvania,56667.0,42,039,111000,17.0,7.3,3.7,9.2,2023,Crawford County
Census Tract 1111; Crawford County; Pennsylvania,24831.0,42,039,111100,25.8,9.6,17.1,25.3,2023,Crawford County
Census Tract 1112; Crawford County; Pennsylvania,52679.0,42,039,111200,18.5,12.7,24.7,17.9,2023,Crawford County
Census Tract 1113; Crawford County; Pennsylvania,68016.0,42,039,111300,8.5,13.8,10.7,4.3,2023,Crawford County
Census Tract 1114; Crawford County; Pennsylvania,73856.0,42,039,111400,10.8,21.1,5.1,1.9,2023,Crawford County
