tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
001200,049,2019,"Census Tract 12, Erie County, Pennsylvania",2256,31.5,42.6,33.5,5.5,6.9,11.5,961,755,124,156,2256
001300,049,2019,"Census Tract 13, Erie County, Pennsylvania",1849,22.6,28.9,42.8,20.4,2.4,5.5,535,791,378,45,1849
001400,049,2019,"Census Tract 14, Erie County, Pennsylvania",2342,32.9,53.8,23.4,10.5,6.4,5.9,1261,549,245,149,2342
002900,049,2019,"Census Tract 29, Erie County, Pennsylvania",2889,48.3,95.9,3.0,0.4,0.0,0.7,2770,86,11,0,2889
003000,049,2019,"Census Tract 30, Erie County, Pennsylvania",4386,36.6,77.0,8.5,2.9,5.7,5.9,3379,375,129,249,4386
111500,039,2019,"Census Tract 1115, Crawford County, Pennsylvania",5144,42.9,86.7,5.0,2.3,0.1,5.9,4460,256,119,4,5144
111600,039,2019,"Census Tract 1116, Crawford County, Pennsylvania",3469,38.6,90.0,3.1,1.5,0.4,5.0,3123,109,53,13,3469
111300,039,2019,"Census Tract 1113, Crawford County, Pennsylvania",5469,41.8,96.5,0.7,0.5,0.4,1.9,5277,40,30,21,5469
111200,039,2019,"Census Tract 1112, Crawford County, Pennsylvania",2440,39.8,97.0,0.5,1.2,1.3,0.0,2367,12,29,32,2440
111400,039,2019,"Census Tract 1114, Crawford County, Pennsylvania",4658,41.8,94.7,2.1,2.3,0.3,0.6,4410,96,106,15,4658
111900,039,2019,"Census Tract 1119, Crawford County, Pennsylvania",3358,43.2,98.0,0.0,0.2,0.4,1.4,3291,0,8,12,3358
110400,039,2019,"Census Tract 1104, Crawford County, Pennsylvania",2775,48.5,96.9,0.0,1.5,0.3,1.3,2688,0,43,7,2775
110600,039,2019,"Census Tract 1106, Crawford County, Pennsylvania",2852,47.4,94.8,0.0,1.7,0.5,3.0,2705,0,48,15,2852
111800,039,2019,"Census Tract 1118, Crawford County, Pennsylvania",5423,49.4,94.5,0.3,0.7,2.7,1.8,5124,14,38,146,5423
110700,039,2019,"Census Tract 1107, Crawford County, Pennsylvania",4013,45.2,97.2,0.2,1.5,0.3,0.8,3900,10,60,13,4013
110201,039,2019,"Census Tract 1102.01, Crawford County, Pennsylvania",3855,44.2,97.6,0.4,1.1,0.0,0.9,3763,17,43,0,3855
110202,039,2019,"Census Tract 1102.02, Crawford County, Pennsylvania",4555,38.6,89.4,4.9,3.0,0.7,2.0,4071,221,138,34,4555
110501,039,2019,"Census Tract 1105.01, Crawford County, Pennsylvania",2005,46.0,98.5,0.0,0.4,0.5,0.6,1975,0,8,11,2005
110502,039,2019,"Census Tract 1105.02, Crawford County, Pennsylvania",3697,48.0,98.6,0.1,0.9,0.0,0.4,3647,3,32,0,3697
112001,039,2019,"Census Tract 1120.01, Crawford County, Pennsylvania",2343,56.4,96.3,0.0,2.4,0.2,1.1,2256,0,56,4,2343
112002,039,2019,"Census Tract 1120.02, Crawford County, Pennsylvania",1284,55.8,98.0,0.0,0.4,0.0,1.6,1258,0,5,0,1284
111700,039,2019,"Census Tract 1117, Crawford County, Pennsylvania",4662,25.7,82.8,6.9,2.7,1.7,5.9,3860,322,128,77,4662
110300,039,2019,"Census Tract 1103, Crawford County, Pennsylvania",4261,42.9,97.2,0.8,1.1,0.1,0.8,4143,33,47,6,4261
110800,039,2019,"Census Tract 1108, Crawford County, Pennsylvania",4641,43.8,97.1,0.8,0.7,0.3,1.1,4507,38,33,16,4641
110900,039,2019,"Census Tract 1109, Crawford County, Pennsylvania",3039,45.6,98.2,0.5,0.6,0.2,0.5,2983,15,19,5,3039
111000,039,2019,"Census Tract 1110, Crawford County, Pennsylvania",2652,44.6,96.3,1.5,0.9,0.2,1.1,2553,41,24,4,2652
110100,039,2019,"Census Tract 1101, Crawford County, Pennsylvania",6246,32.5,98.7,0.5,0.4,0.1,0.3,6164,31,25,4,6246
111100,039,2019,"Census Tract 1111, Crawford County, Pennsylvania",2824,39.4,95.0,3.0,1.0,0.8,0.2,2683,84,27,23,2824
000100,049,2020,"Census Tract 1, Erie County, Pennsylvania",1276,59.9,66.3,23.8,7.4,0.0,2.5,846,304,94,0,1276
000200,049,2020,"Census Tract 2, Erie County, Pennsylvania",3649,53.4,88.5,2.7,3.5,3.4,1.9,3230,98,127,124,3649
000300,049,2020,"Census Tract 3, Erie County, Pennsylvania",3154,28.8,68.3,13.0,4.9,2.0,11.8,2153,411,155,63,3154
000400,049,2020,"Census Tract 4, Erie County, Pennsylvania",2250,36.3,54.1,14.5,8.9,6.4,16.1,1217,327,200,145,2250
000500,049,2020,"Census Tract 5, Erie County, Pennsylvania",3406,29.2,45.5,34.9,18.0,1.1,0.5,1550,1187,612,39,3406
000600,049,2020,"Census Tract 6, Erie County, Pennsylvania",3141,28.6,51.6,22.8,17.9,2.2,5.5,1621,717,561,68,3141
000700,049,2020,"Census Tract 7, Erie County, Pennsylvania",2036,36.0,49.5,30.8,14.2,2.3,3.2,1007,628,290,46,2036
000800,049,2020,"Census Tract 8, Erie County, Pennsylvania",1938,37.9,41.6,27.4,18.6,10.0,2.4,806,531,361,194,1938
000901,049,2020,"Census Tract 9.01, Erie County, Pennsylvania",2563,43.8,70.2,19.5,8.0,0.0,2.3,1799,499,206,0,2563
000902,049,2020,"Census Tract 9.02, Erie County, Pennsylvania",2519,24.7,84.3,5.4,4.0,1.7,4.6,2124,135,100,43,2519
001000,049,2020,"Census Tract 10, Erie County, Pennsylvania",3102,29.5,74.4,7.1,8.8,0.3,9.4,2308,220,272,8,3102
001100,049,2020,"Census Tract 11, Erie County, Pennsylvania",2662,38.0,71.0,2.1,18.6,0.4,7.9,1889,55,496,11,2662
001200,049,2020,"Census Tract 12, Erie County, Pennsylvania",2502,42.2,49.1,27.9,4.5,5.4,13.1,1228,697,112,135,2502
001300,049,2020,"Census Tract 13, Erie County, Pennsylvania",1688,23.7,38.2,38.4,21.3,0.0,2.1,645,648,359,0,1688
001400,049,2020,"Census Tract 14, Erie County, Pennsylvania",2620,34.1,50.2,28.5,6.6,7.1,7.6,1314,748,173,187,2620
001500,049,2020,"Census Tract 15, Erie County, Pennsylvania",3047,22.1,23.3,41.4,16.7,8.0,10.6,709,1261,508,244,3047
001600,049,2020,"Census Tract 16, Erie County, Pennsylvania",4313,37.2,65.4,17.1,11.2,3.0,3.3,2822,736,482,129,4313
001700,049,2020,"Census Tract 17, Erie County, Pennsylvania",2726,29.6,48.9,29.9,8.4,4.5,8.3,1334,815,229,123,2726
001800,049,2020,"Census Tract 18, Erie County, Pennsylvania",2013,24.5,39.4,38.5,14.9,1.5,5.7,794,774,300,31,2013
