ZCTA5CE20,year,snap_participation_rate
03031,2020,0.6
03032,2020,4.3
03033,2020,2.2
03034,2020,4.1
03036,2020,1.7
03037,2020,2.6
03038,2020,6.4
03042,2020,5.0
03043,2020,4.2
03044,2020,3.3
03045,2020,6.3
03046,2020,7.1
03047,2020,6.4
03048,2020,6.4
03049,2020,0.4
03051,2020,4.6
03052,2020,1.0
03053,2020,4.8
03054,2020,3.7
03055,2020,6.8
03057,2020,5.4
03060,2020,17.3
03062,2020,3.2
03063,2020,7.0
03064,2020,8.7
03070,2020,0.5
03071,2020,1.9
03076,2020,3.7
03077,2020,9.5
03079,2020,2.7
03082,2020,1.4
03084,2020,3.6
03086,2020,0.7
03087,2020,0.1
03101,2020,15.3
03102,2020,12.2
03103,2020,16.0
03104,2020,10.2
03106,2020,10.3
03109,2020,7.4
03110,2020,2.0
03215,2020,0.0
03216,2020,1.0
03217,2020,13.6
03218,2020,10.6
03220,2020,7.6
03221,2020,3.3
03222,2020,10.0
03223,2020,4.3
03224,2020,5.7
03225,2020,5.0
03226,2020,6.1
03227,2020,1.8
03229,2020,4.7
03230,2020,6.9
03231,2020,0.0
03233,2020,0.0
03234,2020,5.6
03235,2020,11.4
03237,2020,1.1
03238,2020,6.4
03240,2020,8.2
03241,2020,6.0
03242,2020,5.4
03243,2020,2.4
03244,2020,7.3
03245,2020,11.8
03246,2020,15.4
03249,2020,4.6
03251,2020,5.0
03253,2020,7.7
03254,2020,1.5
03255,2020,6.9
03256,2020,4.1
03257,2020,3.8
03258,2020,3.5
03259,2020,0.0
03260,2020,2.7
03261,2020,4.3
03262,2020,3.6
03263,2020,17.1
03264,2020,21.8
03266,2020,15.0
03268,2020,14.1
03269,2020,6.3
03273,2020,0.0
03275,2020,6.3
03276,2020,11.7
03278,2020,9.9
03279,2020,7.8
03280,2020,3.6
03281,2020,4.1
03282,2020,6.0
03284,2020,0.0
03285,2020,3.7
03287,2020,2.1
03290,2020,4.1
03291,2020,0.0
03293,2020,0.0
03301,2020,11.7
03303,2020,11.2
03304,2020,2.9
03307,2020,8.2
03431,2020,8.4
03440,2020,5.9
03441,2020,15.2
03442,2020,7.1
03443,2020,0.0
03444,2020,2.8
03445,2020,2.4
03446,2020,8.6
03447,2020,4.3
03448,2020,6.3
03449,2020,2.1
03450,2020,0.0
03451,2020,11.3
03452,2020,6.3
03455,2020,12.5
03456,2020,4.3
03457,2020,2.2
03458,2020,7.1
03461,2020,3.6
03462,2020,17.4
03464,2020,6.5
03465,2020,9.1
03466,2020,2.9
03467,2020,3.6
03470,2020,13.7
03561,2020,14.2
03570,2020,25.3
03574,2020,8.4
03575,2020,0.0
03576,2020,8.8
03579,2020,4.3
03580,2020,3.3
03581,2020,7.2
03582,2020,17.4
03583,2020,1.6
03584,2020,7.8
03585,2020,15.2
03586,2020,0.8
03588,2020,7.1
03590,2020,18.6
03592,2020,2.9
03593,2020,0.5
03595,2020,2.8
03597,2020,25.3
03598,2020,11.1
03601,2020,1.8
03602,2020,9.1
03603,2020,8.7
03604,2020,33.3
03605,2020,1.1
03607,2020,9.4
03608,2020,3.4
03609,2020,2.6
03740,2020,1.9
03741,2020,5.9
03743,2020,15.5
03745,2020,2.8
03746,2020,0.0
03748,2020,1.9
03750,2020,3.5
03751,2020,0.0
03752,2020,7.2
03753,2020,0.0
03754,2020,0.0
03755,2020,3.8
03765,2020,7.9
03766,2020,11.5
03768,2020,1.4
03770,2020,0.0
03771,2020,4.7
03773,2020,5.8
03774,2020,12.6
03777,2020,1.4
03779,2020,3.5
03780,2020,0.0
03781,2020,2.1
03782,2020,5.7
03784,2020,6.6
03785,2020,13.7
03801,2020,6.6
03809,2020,3.3
03810,2020,4.7
03811,2020,1.1
03812,2020,0.0
03813,2020,2.5
03814,2020,15.4
03816,2020,4.9
03817,2020,8.9
03818,2020,10.7
03819,2020,12.5
03820,2020,6.8
03823,2020,1.8
03824,2020,1.9
03825,2020,5.8
03826,2020,5.4
03827,2020,5.9
03830,2020,4.8
03832,2020,5.7
03833,2020,3.0
03835,2020,13.1
03836,2020,2.8
03837,2020,7.3
03838,2020,4.2
03839,2020,14.8
03840,2020,1.9
03841,2020,3.6
03842,2020,4.0
03844,2020,0.6
03845,2020,7.4
03846,2020,6.7
03847,2020,0.0
03848,2020,5.4
03849,2020,5.3
03850,2020,0.0
03851,2020,7.1
03852,2020,0.0
03853,2020,1.5
03854,2020,0.0
03855,2020,9.7
03856,2020,2.9
03857,2020,6.4
03858,2020,6.1
03860,2020,12.0
03861,2020,6.8
03862,2020,2.3
03864,2020,5.3
03865,2020,2.0
03867,2020,12.3
03868,2020,9.6
03869,2020,2.9
03870,2020,3.7
03871,2020,0.0
03872,2020,3.1
03873,2020,2.6
03874,2020,12.1
03875,2020,0.0
03878,2020,10.8
03882,2020,9.1
03883,2020,17.2
03884,2020,3.2
03885,2020,0.3
03886,2020,11.7
03887,2020,3.6
03890,2020,0.0
03894,2020,10.0
03901,2020,5.3
03902,2020,6.9
03903,2020,3.7
03904,2020,9.2
03905,2020,5.0
03906,2020,9.2
03907,2020,0.3
03908,2020,1.9
03909,2020,4.9
03910,2020,0.0
03911,2020,0.0
04001,2020,12.7
04002,2020,6.8
04003,2020,0.0
04005,2020,18.4
04006,2020,0.0
04008,2020,0.7
04009,2020,6.7
04010,2020,8.9
04011,2020,8.8
04015,2020,5.2
04017,2020,1.8
04019,2020,0.0
04020,2020,18.6
04021,2020,5.1
04022,2020,3.7
04024,2020,8.8
04027,2020,11.2
04029,2020,7.2
04030,2020,0.0
04032,2020,5.7
04037,2020,11.2
04038,2020,2.7
04039,2020,5.5
04040,2020,8.7
04041,2020,12.5
04042,2020,8.0
04043,2020,9.8
04046,2020,4.4
04047,2020,11.3
04048,2020,11.4
04049,2020,9.5
04050,2020,7.7
04051,2020,5.7
04055,2020,7.1
04056,2020,35.3
04057,2020,0.0
04061,2020,12.0
04062,2020,6.2
04063,2020,14.0
04064,2020,10.6
04066,2020,0.0
04068,2020,19.9
04069,2020,5.5
04071,2020,4.5
04072,2020,13.1
04073,2020,19.0
04074,2020,2.4
04076,2020,11.2
04079,2020,6.8
04083,2020,10.9
04084,2020,10.2
04085,2020,16.3
04086,2020,7.3
04087,2020,6.7
04088,2020,8.3
04090,2020,9.4
04091,2020,13.9
04092,2020,14.1
04093,2020,9.8
04095,2020,20.8
04096,2020,10.3
04097,2020,1.0
04101,2020,23.0
04102,2020,10.8
04103,2020,9.3
04105,2020,4.7
04106,2020,10.2
04107,2020,2.1
04108,2020,5.2
04109,2020,0.0
04110,2020,0.0
04210,2020,19.7
04216,2020,10.2
04217,2020,17.9
04219,2020,11.6
04220,2020,8.8
04221,2020,9.1
04222,2020,1.8
