tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
000800,2023,24.8,470.0,6.7,42.5,7.8,37.7,22.5
000901,2020,13.6,350.0,4.3,26.5,8.0,38.3,19.0
000901,2021,9.2,190.0,2.4,23.8,16.4,35.9,21.3
000901,2022,15.4,360.0,4.5,26.7,11.0,28.4,24.1
000901,2023,15.6,350.0,4.0,30.5,16.2,27.0,18.9
000902,2020,,,4.8,10.2,4.0,13.3,18.0
000902,2021,,,6.7,9.7,6.4,13.5,21.1
000902,2022,,,7.2,16.0,6.1,8.6,13.1
000902,2023,,,10.2,19.3,12.7,10.3,18.9
001000,2020,18.7,580.0,6.0,11.7,8.8,27.0,13.4
001000,2021,18.7,590.0,7.4,11.0,7.7,27.1,11.5
001000,2022,18.4,570.0,3.1,18.5,7.0,28.4,13.8
001000,2023,20.2,610.0,2.4,18.2,6.1,28.5,11.5
001100,2020,16.0,430.0,4.1,4.2,18.6,64.0,16.5
001100,2021,11.6,320.0,2.3,6.0,19.5,71.1,18.4
001100,2022,17.1,500.0,4.6,11.4,22.2,63.9,22.1
001100,2023,21.7,670.0,3.0,9.2,18.5,67.0,23.9
001200,2020,28.7,720.0,12.8,39.5,4.5,35.1,33.7
001200,2021,26.6,800.0,10.1,32.2,4.4,32.4,32.7
001200,2022,26.8,690.0,9.6,44.5,2.7,33.6,24.8
001200,2023,27.1,740.0,7.0,32.5,7.6,32.5,19.9
001300,2020,34.8,590.0,21.3,43.2,21.3,17.7,22.0
001300,2021,28.8,500.0,15.1,40.3,20.2,22.1,17.2
001300,2022,31.6,570.0,12.5,44.8,18.2,22.3,17.3
001300,2023,38.0,640.0,21.7,51.7,17.7,22.7,13.5
001400,2020,31.5,820.0,16.2,38.5,6.6,21.0,32.3
001400,2021,38.1,1050.0,19.5,35.6,4.8,23.3,28.3
001400,2022,37.8,890.0,14.5,38.4,3.9,22.9,23.7
001400,2023,45.2,1030.0,21.3,37.3,3.0,24.3,24.2
001500,2020,21.6,660.0,12.3,52.3,16.7,26.3,17.0
001500,2021,21.2,620.0,13.8,57.2,15.2,31.2,17.2
001500,2022,24.5,760.0,10.7,62.9,18.8,27.9,19.6
001500,2023,29.3,820.0,11.9,48.2,26.9,25.5,19.6
001600,2020,15.7,680.0,9.4,21.4,11.2,77.5,20.1
001600,2021,17.8,770.0,11.1,23.6,12.1,75.7,21.1
001600,2022,16.9,690.0,3.8,17.4,10.7,76.9,17.3
001600,2023,20.0,810.0,0.8,15.6,5.9,76.4,18.7
001700,2020,18.7,510.0,15.7,37.9,8.4,46.7,21.9
001700,2021,15.6,420.0,13.1,35.3,8.8,47.7,19.3
001700,2022,21.9,580.0,16.2,30.3,9.4,50.2,21.5
001700,2023,28.7,720.0,23.1,44.0,4.8,55.4,19.4
001800,2020,25.6,520.0,20.8,45.1,14.9,38.8,13.0
001800,2021,24.5,490.0,20.8,50.8,14.4,35.1,17.9
001800,2022,24.0,480.0,18.9,53.5,12.2,40.5,20.7
001800,2023,25.7,510.0,14.7,60.8,6.9,32.8,21.0
001900,2020,29.6,470.0,13.3,15.5,3.3,11.0,38.3
001900,2021,29.5,460.0,11.7,16.8,5.5,7.9,37.0
001900,2022,31.2,530.0,9.0,12.7,7.7,8.6,40.4
001900,2023,37.9,650.0,12.3,11.3,7.3,7.9,39.7
002000,2020,19.2,710.0,13.4,12.3,13.6,43.1,17.0
002000,2021,22.7,760.0,17.9,18.6,17.7,43.1,14.6
002000,2022,27.0,840.0,17.3,18.1,12.6,39.9,16.8
002000,2023,27.9,890.0,16.5,18.5,12.5,39.3,12.8
002100,2020,6.3,250.0,2.2,6.9,3.7,84.3,14.1
002100,2021,9.2,360.0,4.7,7.4,1.1,85.0,14.0
002100,2022,10.3,380.0,5.7,7.2,1.1,87.3,14.2
002100,2023,10.2,360.0,5.4,7.2,1.1,84.4,15.2
002200,2020,7.8,320.0,6.5,7.0,1.5,71.6,13.7
