name,address,county,state,zip,lat,lon,category,tier,store_type_raw,authorization_date,geocode_source
Dollar General 10982,5750 Shaffer Rd,CLEARFIELD,PA,15801,41.12443,-78.72665,Full-Service,specialty,Combination Grocery/Other,3/10/2007,usda_historical_2005_2025
Dollar General 15841,1900 Kylertown Drifting Hwy,CLEARFIELD,PA,16847,40.9902,-78.16486,Full-Service,specialty,Combination Grocery/Other,9/10/2015,usda_historical_2005_2025
Dollar General 13907,3925 Walton St,CLEARFIELD,PA,16666,40.85963,-78.26304,Full-Service,specialty,Combination Grocery/Other,9/28/2016,usda_historical_2005_2025
DOLLAR GENERAL 18540,11915 Bennetts Valley Hwy,CLEARFIELD,PA,15849,41.20669,-78.57856,Full-Service,specialty,Combination Grocery/Other,4/9/2018,usda_historical_2005_2025
DOLLAR GENERAL 18823,48 1st St,CLEARFIELD,PA,16838,40.95826,-78.61178,Full-Service,specialty,Combination Grocery/Other,6/7/2018,usda_historical_2005_2025
Dollar General 20053,15760 Rockton Mountain Hwy,CLEARFIELD,PA,16830,41.04447,-78.46014,Full-Service,specialty,Combination Grocery/Other,8/30/2019,usda_historical_2005_2025
Dollar General 20955,2727 Main St,CLEARFIELD,PA,16661,40.82687,-78.43906,Full-Service,specialty,Combination Grocery/Other,1/6/2020,usda_historical_2005_2025
Dollar General 21258,4145 Morrisdale Allport Hwy,CLEARFIELD,PA,16858,40.95066,-78.22249,Full-Service,specialty,Combination Grocery/Other,7/20/2020,usda_historical_2005_2025
Dollar General 21511,1110 Carson Hill Rd,CLEARFIELD,PA,15801,41.06555,-78.73306,Full-Service,specialty,Combination Grocery/Other,11/13/2020,usda_historical_2005_2025
Dollar General 24186,1142 Fullerton St,CLEARFIELD,PA,16830,41.00475,-78.4581,Full-Service,specialty,Combination Grocery/Other,12/29/2022,usda_historical_2005_2025
Dollar General Store 16724,579 Woodland Bigler Hwy,CLEARFIELD,PA,16881,40.9915,-78.30761,Full-Service,specialty,Combination Grocery/Other,7/18/2016,usda_historical_2005_2025
Dollar General Store 10435,124 Walton St,CLEARFIELD,PA,16866,40.89225,-78.22441,Full-Service,specialty,Combination Grocery/Other,5/17/2017,usda_historical_2005_2025
Dollar Tree 2246,170 Plaza Dr,CLEARFIELD,PA,16830,41.02929,-78.41394,Full-Service,specialty,Combination Grocery/Other,9/21/2010,usda_historical_2005_2025
Dollar Tree 2421,160 Commons Dr,CLEARFIELD,PA,15801,41.12538,-78.73159,Full-Service,specialty,Combination Grocery/Other,8/10/2017,usda_historical_2005_2025
Fam Fuels #3,208 Filbert St,CLEARFIELD,PA,16833,40.9736,-78.52708,Convenience & Fuel,convenience,Convenience Store,7/3/2023,usda_historical_2005_2025
Family Dollar 2104,100 N Main St,CLEARFIELD,PA,15801,41.12328,-78.76757,Full-Service,specialty,Combination Grocery/Other,12/12/2019,usda_historical_2005_2025
Family Dollar Store 7087,1100 Old Town Rd,CLEARFIELD,PA,16830,40.82344,-78.70562,Full-Service,specialty,Combination Grocery/Other,5/30/2009,usda_historical_2005_2025
Family Dollar Store 10765,585 Mahaffey Grampian Hwy,CLEARFIELD,PA,15757,40.88198,-78.73365,Full-Service,specialty,Combination Grocery/Other,8/21/2014,usda_historical_2005_2025
FEZELL SAVE-A-LOT 24251,1000 S Brady St,CLEARFIELD,PA,15801,41.10438,-78.77148,Full-Service,standard,Supermarket,8/26/2002,usda_historical_2005_2025
Fuel On,911 Walton St,CLEARFIELD,PA,16866,40.88855,-78.23013,Convenience & Fuel,convenience,Convenience Store,6/8/2020,usda_historical_2005_2025
Giant Eagle 84,100 N Main St,CLEARFIELD,PA,15801,41.12394,-78.76658,Full-Service,standard,Super Store,8/20/2010,usda_historical_2005_2025
"GOODMAN'S FOODLINER, INC",335 State St,CLEARFIELD,PA,16833,40.97515,-78.52485,Full-Service,standard,Supermarket,3/8/1993,usda_historical_2005_2025
GRAMPIAN ONE STOP,522 1st St,CLEARFIELD,PA,16838,40.96439,-78.60931,Convenience & Fuel,convenience,Convenience Store,7/7/2016,usda_historical_2005_2025
Houtzdale Shop N Save Express,541 Spring St,CLEARFIELD,PA,16651,40.82342,-78.3489,Full-Service,standard,Supermarket,3/26/2015,usda_historical_2005_2025
J G Food Warehouse,200 River Rd,CLEARFIELD,PA,16830,41.02807,-78.43916,Full-Service,standard,Supermarket,3/28/2023,usda_historical_2005_2025
Lakeside Market,5667 Bee Line Hwy,CLEARFIELD,PA,15801,41.15887,-78.66782,Convenience & Fuel,convenience,Convenience Store,5/23/2024,usda_historical_2005_2025
Leyos Inc,PO Box 397,CLEARFIELD,PA,16627,40.73448,-78.4893,Full-Service,standard,Supermarket,11/4/1971,usda_historical_2005_2025
Martins Food Market 6325,22 Hoover Ave,CLEARFIELD,PA,15801,41.1191,-78.75603,Full-Service,standard,Supermarket,8/19/2003,usda_historical_2005_2025
Mt. View Market Place,111 Rolling Stone Rd,CLEARFIELD,PA,16847,40.99137,-78.16747,Full-Service,standard,Medium Grocery Store,12/10/2012,usda_historical_2005_2025
Nittany Minit Mart 212,1135 Main St,CLEARFIELD,PA,16627,40.75095,-78.53558,Convenience & Fuel,convenience,Convenience Store,8/16/1990,usda_historical_2005_2025
Nittany Minit Mart 246,40 Woodland Bigler Hwy,CLEARFIELD,PA,16881,40.98497,-78.3017,Convenience & Fuel,convenience,Convenience Store,3/26/2008,usda_historical_2005_2025
Nittany Minit Mart 239,12120 Bennetts Valley Hwy,CLEARFIELD,PA,15849,41.20796,-78.5752,Convenience & Fuel,convenience,Convenience Store,11/19/2008,usda_historical_2005_2025
Nittany Minit Mart 234,3904 Morrisdale Allport Hwy,CLEARFIELD,PA,16858,40.94836,-78.22611,Convenience & Fuel,convenience,Convenience Store,3/17/2016,usda_historical_2005_2025
Nittany Minit Mart 233,3843 Walton St,CLEARFIELD,PA,16666,40.86057,-78.2616,Convenience & Fuel,convenience,Convenience Store,4/6/2016,usda_historical_2005_2025
PALUMBO MEAT MARKET,326 W Long Ave,CLEARFIELD,PA,15801,41.12181,-78.76659,Full-Service,standard,Supermarket,9/7/2016,usda_historical_2005_2025
Philipsburg Hometown Market,1323 Walton St,CLEARFIELD,PA,16866,40.88565,-78.23354,Full-Service,standard,Super Store,10/28/2009,usda_historical_2005_2025
Pilot Travel Center 336,1742 Rich Hwy,CLEARFIELD,PA,15801,41.1408,-78.78377,Convenience & Fuel,convenience,Convenience Store,5/24/2017,usda_historical_2005_2025
