stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
862,862,Parade St at E 27th St,,42.1141967773,-80.064255,,,0,,0,38,4:51 AM,8:24 PM
863,863,Parade St at E 26th St,,42.1150665283,-80.064842,,,0,,0,14,6:40 AM,5:52 PM
864,864,Parade St at E 25th St,,42.1159515381,-80.065468,,,0,,0,14,6:40 AM,5:52 PM
865,865,Parade St at E 24th St,,42.1167793274,-80.066025,,,0,,0,14,6:40 AM,5:52 PM
866,866,Parade St at E 23rd St,,42.1175842285,-80.066544,,,0,,0,14,6:40 AM,5:52 PM
867,867,Parade St at E 22nd St,,42.1183929443,-80.067093,,,0,,0,14,6:41 AM,5:53 PM
868,868,Parade St at E 21st St,,42.1192092896,-80.067627,,,0,,0,14,6:41 AM,5:53 PM
869,869,Parade St at E 18th St,,42.1216201782,-80.069206,,,0,,0,14,6:41 AM,5:53 PM
87,87,W 10th St at Raspberry Sreet,,42.1171264648,-80.105728,,,0,,0,58,5:02 AM,11:27 PM
870,870,Parade St at E 13th St,,42.1258888245,-80.072075,,,0,,0,14,6:43 AM,5:55 PM
871,871,Parade St at E 12th St,,42.1265830994,-80.072502,,,0,,0,14,6:43 AM,5:55 PM
872,872,Parade St at E 11th St,,42.1276512146,-80.073235,,,0,,0,14,6:43 AM,5:55 PM
873,873,E Lakeview at Parade,,42.0993156433,-80.054688,,,0,,0,14,6:01 AM,5:01 PM
874,874,Parade at E Lakeview,,42.0994567871,-80.05452,,,0,,0,14,6:30 AM,5:42 PM
875,875,E Grandview opp Mercyhurst Prep,,42.09897995,-80.053413,,,0,,0,14,6:01 AM,5:01 PM
876,876,E Grandview at Montmarc,,42.1003494263,-80.049751,,,0,,0,14,6:02 AM,5:02 PM
877,877,E Grandview opp Montmarc,,42.100479126,-80.049828,,,0,,0,14,6:29 AM,5:41 PM
878,878,E Grandview at E Magnolia,,42.1014328003,-80.047325,,,0,,0,14,6:29 AM,5:41 PM
879,879,E Grandview at Wayne St,,42.1022224426,-80.045158,,,0,,0,14,6:28 AM,5:40 PM
880,880,E Grandview opp Wayne St,,42.1020355225,-80.045242,,,0,,0,14,6:03 AM,5:03 PM
881,881,E Grandview at Tanglewood Apartments,,42.1025543213,-80.04377,,,0,,0,14,6:03 AM,5:03 PM
882,882,Lake Pleasant Rd,,42.1017608643,-80.040009,,,0,,0,14,6:27 AM,5:39 PM
883,883,Lake Pleasant Rd,,42.1016578674,-80.040077,,,0,,0,14,6:04 AM,5:04 PM
884,884,E Gore Rd at Lake Pleasant Rd,,42.1000175476,-80.038513,,,0,,0,14,6:04 AM,5:04 PM
885,885,E Gore Rd at Lake Pleasant Rd,,42.1000976562,-80.038574,,,0,,0,14,6:27 AM,5:38 PM
886,886,E Gore Rd at Amy Ave,,42.1012458801,-80.035416,,,0,,0,14,6:26 AM,5:38 PM
887,887,E Gore Rd at Cider Mill Rd,,42.1015625,-80.03331,,,0,,0,14,6:06 AM,5:06 PM
888,888,E Gore Rd at Wattsburg Rd,,42.1034088135,-80.029205,,,0,,0,14,6:07 AM,5:07 PM
890,890,East Grandview Plaza,,42.1077461243,-80.032784,,,0,,0,28,6:24 AM,5:35 PM
891,891,Cider Mill Apartments,,42.0990066528,-80.028725,,,0,,0,14,6:09 AM,5:09 PM
892,892,Bundy at Wager Rd,,42.0947418213,-80.009445,,,0,,0,14,6:14 AM,5:14 PM
893,893,Lake Pleasant Rd at E Grandview,,42.1035079956,-80.041145,,,0,,0,14,6:28 AM,5:40 PM
894,894,E 38th St at Mercyhurst University,,42.106552124,-80.054832,,,0,,0,25,6:33 AM,9:03 PM
895,895,Wattsburg Rd at E Gore Rd,,42.1035575867,-80.029366,,,0,,0,14,6:25 AM,5:36 PM
