geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42039111600,Crawford,2021,"Census Tract 1116, Crawford County, Pennsylvania",1662,151,292,157,128,108,120,97,113,106,144,70,131,29,0,16,0
42039111600,Crawford,2022,Census Tract 1116; Crawford County; Pennsylvania,1577,80,215,117,162,80,134,125,66,100,144,117,82,113,20,15,7
42039111600,Crawford,2023,Census Tract 1116; Crawford County; Pennsylvania,1584,94,249,107,123,81,49,112,69,152,143,101,65,207,0,16,16
42039111700,Crawford,2019,"Census Tract 1117, Crawford County, Pennsylvania",1364,50,48,124,86,75,52,86,46,26,136,111,165,129,72,55,103
42039111700,Crawford,2020,"Census Tract 1117, Crawford County, Pennsylvania",1381,48,44,93,80,133,35,83,90,49,112,81,184,149,37,53,110
42039111700,Crawford,2021,"Census Tract 1117, Crawford County, Pennsylvania",1357,42,16,93,104,137,28,128,70,26,118,61,195,151,29,64,95
42039111700,Crawford,2022,Census Tract 1117; Crawford County; Pennsylvania,1252,26,48,4,58,155,58,40,92,75,90,46,116,235,60,93,56
42039111700,Crawford,2023,Census Tract 1117; Crawford County; Pennsylvania,1289,29,65,4,18,62,129,21,149,72,134,63,134,276,61,51,21
42039111800,Crawford,2019,"Census Tract 1118, Crawford County, Pennsylvania",2457,18,72,112,149,282,89,147,169,150,250,244,324,224,29,130,68
42039111800,Crawford,2020,"Census Tract 1118, Crawford County, Pennsylvania",2577,41,22,74,113,255,138,97,201,117,267,357,262,340,28,129,136
42039111800,Crawford,2021,"Census Tract 1118, Crawford County, Pennsylvania",2397,40,61,98,54,190,85,81,58,140,113,363,407,303,57,180,167
42039111800,Crawford,2022,Census Tract 1118; Crawford County; Pennsylvania,2456,33,59,120,0,170,134,75,65,125,158,363,352,225,175,172,230
42039111800,Crawford,2023,Census Tract 1118; Crawford County; Pennsylvania,2497,38,59,147,62,181,55,58,82,105,147,444,341,169,260,149,200
42039111900,Crawford,2019,"Census Tract 1119, Crawford County, Pennsylvania",1295,60,65,35,95,86,59,66,65,76,154,190,129,117,38,37,23
42039111900,Crawford,2020,"Census Tract 1119, Crawford County, Pennsylvania",1283,58,66,38,68,92,52,59,71,64,139,177,202,93,44,35,25
