tract_geoid,tract_name,county,name,address,lat,lon,primary_category,type,subtype,snap_eligible
42039110700,Census Tract 1107,Crawford,Country Fair 37,"515 Main St, Saegertown, PA 16433",41.72106,-80.14825,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110700,Census Tract 1107,Crawford,Dollar General 12882,"533 Main St, Saegertown, PA 16433",41.7215,-80.14879,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110700,Census Tract 1107,Crawford,Dollar General Store 16908,"24095 State Highway 77, Meadville, PA 16335",41.67297,-80.06101,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039110700,Census Tract 1107,Crawford,H & H Market Place,"201 Main St, Saegertown, PA 16433",41.71477,-80.14636,Food & Grocery,Supermarket,Supermarket,Yes
42039110700,Census Tract 1107,Crawford,Kwik Fill 166,"270 Main St, Saegertown, PA 16433",41.71608,-80.14722,Food & Grocery,Convenience Store,Convenience Store,Yes
42039110700,Census Tract 1107,Crawford,Saegertown Medical Associates,,41.7190559,-80.1481411,Health,Clinic,Outpatient Clinic,No
42039110700,Census Tract 1107,Crawford,Woodcock Vet,,41.6994832,-80.1122048,Health,Clinic,Veterinary,No
42039110800,Census Tract 1108,Crawford,Apostolic Lighthouse Chruch,,41.6624572,-80.0856442,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Black Ash Church,,41.5925563,-79.8903336,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Blooming Valley United Methodist Church,,41.67827,-80.0488956,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Guys Mills Post Office,,41.6318359,-79.9764697,Civic & Social,Government,Post Office,No
42039110800,Census Tract 1108,Crawford,Guys Mills United Free Evangelical Church,,41.6321752,-79.9765015,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Lyona Bible Church,,41.6929,-79.9701039,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Mount Hope Church,,41.5869995,-79.962557,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,North Richmond Church,,41.7475572,-79.9786655,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Pine Grove Church,,41.5986657,-80.0500583,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Plain View Mennonite Church,,41.6464766,-79.9576051,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Randolph Volunteer Fire Department,,41.6307131,-79.9773671,Civic & Social,Emergency Services,Fire Station,No
42039110800,Census Tract 1108,Crawford,Saint Hippolytes Church,,41.6122771,-80.0217241,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,State Road Church,,41.6625554,-80.0856134,Civic & Social,Faith Community,Place of Worship,No
42039110800,Census Tract 1108,Crawford,Davis School,,41.5933878,-80.0756144,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Faith Builders Educational Programs,"28527, Guys Mills Road, Guys Mills, PA, 16327",41.6324748,-79.9739616,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Hatch School,,41.6586666,-80.0489461,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Hatch School,,41.6611669,-79.9872782,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Kiser School,,41.6014435,-80.0639474,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Plank Road School,,41.6362169,-80.0131724,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Root School,,41.7475573,-79.9658876,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,South Richmond School,,41.6908901,-79.9372772,Education & Civic,School,K-12 School,No
42039110800,Census Tract 1108,Crawford,Millers Farm Market,"12170 Townline Rd, Meadville, PA 16335",41.63677,-80.0942,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Yes
42039110900,Census Tract 1109,Crawford,Abundant Life Christian Fellowship,"33328, North Main Street, Townville, PA, 16360",41.6803107,-79.8827817,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,Community Bible Church,,41.6591572,-79.8012557,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,East Troy Church,,41.6339473,-79.7589424,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,Stueben Township,,41.6840449,-79.8365584,Civic & Social,Government,Government Office,No
42039110900,Census Tract 1109,Crawford,Townville,"33441, North Main Street, Townville, PA, 16360",41.677651,-79.8805725,Civic & Social,Emergency Services,Fire Station,No
42039110900,Census Tract 1109,Crawford,Townville Baptist Church,"33274, North Main Street, Townville, PA, 16360",41.6810356,-79.8838018,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,Townville Unted Methodist Church,"33279, North Main Street, Townville, PA, 16360",41.6799861,-79.8837,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,Tryonville United Methodist Church,,41.7015008,-79.7903174,Civic & Social,Faith Community,Place of Worship,No
42039110900,Census Tract 1109,Crawford,Brier Hill School,,41.6448475,-79.859045,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Dobbs School,,41.7658909,-79.8800534,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Hatch School,,41.7239468,-79.8322756,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Lamb School,,41.6972795,-79.8903321,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Maplewood Elementary School,,41.6832787,-79.8933851,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Melvin School,,41.664502,-79.8361652,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Whitman School,,41.7200581,-79.8072754,Education & Civic,School,K-12 School,No
42039110900,Census Tract 1109,Crawford,Dollar General 13230,"33912 Highway 408, Townville, PA 16360",41.67297,-79.87179,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039111000,Census Tract 1110,Crawford,Cornerstone Community Church,,41.6518179,-79.7265606,Civic & Social,Faith Community,Place of Worship,No
42039111000,Census Tract 1110,Crawford,Gilson Ridge Church,,41.6951042,-79.7072929,Civic & Social,Faith Community,Place of Worship,No
42039111000,Census Tract 1110,Crawford,Grace Fellowship,,41.6330538,-79.6928833,Civic & Social,Faith Community,Place of Worship,No
42039111000,Census Tract 1110,Crawford,Hydetown Fire Department,,41.6505792,-79.7233451,Civic & Social,Emergency Services,Fire Station,No
42039111000,Census Tract 1110,Crawford,Hydetown Post Office (closed),,41.6506612,-79.7239561,Civic & Social,Government,Post Office,No
42039111000,Census Tract 1110,Crawford,Kerr Hill Church,,41.6239477,-79.7200529,Civic & Social,Faith Community,Place of Worship,No
42039111000,Census Tract 1110,Crawford,Gilson Ridge School,,41.6761699,-79.7000523,Education & Civic,School,K-12 School,No
42039111000,Census Tract 1110,Crawford,Hydetown Elementary School,,41.6457053,-79.7191622,Education & Civic,School,K-12 School,No
42039111000,Census Tract 1110,Crawford,Hawks Grocery And Smokehouse,"13087 Main St, Titusville, PA 16354",41.65679,-79.7289,Food & Grocery,Medium Grocery Store,Medium Grocery Store,Yes
42039111000,Census Tract 1110,Crawford,Walmart Supercenter 5360,"11415 Hydetown Rd, Titusville, PA 16354",41.63377,-79.69634,Food & Grocery,Supermarket,Supermarket,Yes
42039111000,Census Tract 1110,Crawford,Veterinary Clinic,Hydetown Road,41.6336495,-79.6952831,Health,Clinic,Veterinary,No
42039111100,Census Tract 1111,Crawford,Cvs Pharmacy 5097,"110 E Central Ave, Titusville, PA 16354",41.62745,-79.67272,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039111100,Census Tract 1111,Crawford,Dollar General 2413,"128 W Spring St, Titusville, PA 16354",41.62652,-79.67422,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039111100,Census Tract 1111,Crawford,Getgo 3288,"103 S Perry St, Titusville, PA 16354",41.62669,-79.67747,Food & Grocery,Convenience Store,Convenience Store,Yes
42039111100,Census Tract 1111,Crawford,Giant Eagle 88,"110 S Martin St, Titusville, PA 16354",41.626,-79.67014,Food & Grocery,Supermarket,Supermarket,Yes
42039111100,Census Tract 1111,Crawford,Kwik Fill 200,"1001 E Spring St, Titusville, PA 16354",41.62641,-79.6547,Food & Grocery,Convenience Store,Convenience Store,Yes
42039111100,Census Tract 1111,Crawford,Save A Lot 30192,"111 Diamond St, Titusville, PA 16354",41.62595,-79.67262,Food & Grocery,Supermarket,Supermarket,Yes
