ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16041,16041,2020,Karns City,Clarion,55682.0,2236,43.9,PA,10.9,12.2,26.5,2.9,97.8,0.0,0.0,0.0,2.2,4.1,84.5,16.7
16049,16049,2020,Parker,Clarion,49331.0,2982,45.9,PA,12.8,7.8,11.8,5.1,96.2,0.6,0.5,0.0,2.7,7.9,77.4,19.2
16054,16054,2020,Saint Petersburg,Clarion,44000.0,344,56.3,PA,7.6,8.6,25.0,4.0,98.8,0.0,0.0,0.0,1.2,2.0,83.9,7.5
16110,16110,2020,Adamsville,Crawford,67250.0,328,56.4,PA,4.9,7.5,12.5,14.8,100.0,0.0,0.0,0.0,0.0,1.1,94.6,6.0
16111,16111,2020,Atlantic,Crawford,46094.0,1422,34.2,PA,16.3,3.3,19.1,26.5,98.5,0.0,0.0,0.0,1.5,0.8,86.4,10.2
16125,16125,2020,Greenville,Crawford,49790.0,17056,44.8,PA,12.1,14.4,8.5,8.6,96.0,1.4,1.1,0.2,1.3,6.2,69.4,19.7
16127,16127,2020,Grove City,Venango,60394.0,15263,36.1,PA,9.2,18.8,18.8,5.8,93.6,2.2,1.8,0.6,1.8,3.9,72.1,13.6
16130,16130,2020,Hadley,Crawford,47200.0,2089,46.3,PA,15.2,10.4,9.6,8.8,96.6,0.0,0.7,0.1,2.6,7.0,79.9,10.8
16131,16131,2020,Hartstown,Crawford,61136.0,871,44.6,PA,7.2,6.2,18.1,4.9,97.2,0.0,2.8,0.0,-0.0,2.9,76.1,10.3
16134,16134,2020,Jamestown,Crawford,46641.0,3927,46.8,PA,14.4,10.3,15.6,5.7,98.1,0.2,0.6,0.1,1.0,4.6,86.7,16.5
16145,16145,2020,Sandy Lake,Venango,49825.0,2953,45.8,PA,12.6,15.6,15.4,3.2,92.9,0.3,0.8,0.7,5.3,6.2,82.0,15.1
16153,16153,2020,Stoneboro,Venango,55862.0,2296,45.7,PA,11.1,13.5,9.1,6.8,97.1,0.0,1.6,0.4,0.9,1.4,80.0,11.6
16213,16213,2020,Callensburg,Clarion,38750.0,123,50.1,PA,17.1,2.2,17.4,12.9,100.0,0.0,0.0,0.0,0.0,4.2,62.9,12.9
16214,16214,2020,Clarion,Clarion,43188.0,10276,28.7,PA,25.4,21.3,31.2,10.1,92.5,4.7,2.0,0.4,0.4,8.4,46.0,17.9
16217,16217,2020,Cooksburg,Jefferson,40208.0,128,65.2,PA,0.0,10.2,0.0,29.8,100.0,0.0,0.0,0.0,0.0,0.0,85.7,8.3
16218,16218,2020,Cowansville,Clarion,60156.0,1326,39.2,PA,13.0,12.8,36.0,0.6,90.9,7.5,0.0,0.0,1.6,8.8,94.6,13.6
16222,16222,2020,Dayton,Jefferson,49653.0,2923,34.8,PA,16.6,13.2,25.8,18.1,99.0,0.0,0.0,0.5,0.5,6.9,85.1,9.8
16224,16224,2020,Fairmount City,Clarion,64583.0,1134,41.5,PA,7.5,9.4,0.0,7.6,97.9,0.0,1.5,0.0,0.6,2.2,75.6,7.6
16230,16230,2020,Hawthorn,Clarion,42917.0,467,48.2,PA,8.2,6.9,31.7,3.6,98.9,1.1,0.0,0.0,-0.0,10.6,79.1,14.3
16232,16232,2020,Knox,Clarion,48021.0,4199,40.9,PA,11.2,11.5,11.5,9.4,97.3,0.0,1.0,0.1,1.6,4.5,75.9,17.3
16233,16233,2020,Leeper,Jefferson,69688.0,1208,51.7,PA,10.2,12.3,22.2,3.3,94.5,0.0,0.6,1.7,3.2,8.4,88.5,8.8
16235,16235,2020,Lucinda,Clarion,67037.0,1185,44.7,PA,5.5,20.2,10.4,1.1,90.4,0.0,0.0,0.7,8.9,1.7,90.9,4.6
16239,16239,2020,Marienville,Elk,40833.0,4458,37.2,PA,20.5,3.9,7.4,2.9,54.7,33.6,8.8,0.1,2.8,3.8,83.9,21.0
16240,16240,2020,Mayport,Jefferson,49837.0,1573,42.1,PA,11.3,8.5,17.8,7.7,99.0,0.8,0.0,0.2,-0.0,4.2,76.2,18.8
16242,16242,2020,New Bethlehem,Clarion,48902.0,4259,47.4,PA,13.9,9.9,15.1,9.3,98.7,0.3,0.6,0.1,0.3,4.2,73.5,16.3
16245,16245,2020,Oak Ridge,Clarion,45417.0,229,37.3,PA,9.2,12.8,6.5,2.9,100.0,0.0,0.0,0.0,0.0,6.7,54.9,21.6
16248,16248,2020,Rimersburg,Clarion,48963.0,3059,48.7,PA,17.8,9.0,18.6,4.7,94.8,0.1,1.7,1.2,2.2,9.6,72.4,17.3
16254,16254,2020,Shippenville,Clarion,55435.0,3572,45.0,PA,10.8,15.2,9.0,3.7,95.6,1.0,0.3,0.6,2.5,4.9,82.2,12.4
16255,16255,2020,Sligo,Clarion,47381.0,1690,43.7,PA,15.5,9.1,21.4,8.2,96.0,0.1,0.7,0.1,3.1,5.6,77.4,16.4
16256,16256,2020,Smicksburg,Jefferson,41500.0,2116,19.8,PA,32.7,5.7,0.0,47.3,99.6,0.0,0.2,0.0,0.2,2.3,91.2,6.1
16258,16258,2020,Strattanville,Jefferson,49250.0,1648,44.1,PA,13.0,16.3,5.2,10.5,91.3,0.3,0.0,0.0,8.4,2.0,65.3,19.3
16259,16259,2020,Templeton,Clarion,48506.0,2070,46.4,PA,10.2,4.2,8.1,3.4,96.1,0.0,2.9,0.0,1.0,9.4,80.1,16.2
16260,16260,2020,Vowinckel,Clarion,44038.0,293,53.6,PA,11.3,7.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,87.3,14.0
16301,16301,2020,Oil City,Venango,47072.0,15044,45.0,PA,15.2,15.5,15.5,9.5,95.4,0.7,1.4,0.1,2.4,7.4,70.0,23.2
16311,16311,2020,Carlton,Venango,67500.0,453,43.4,PA,2.0,7.5,0.0,3.0,98.9,0.0,1.1,0.0,-0.0,0.4,89.5,5.0
16312,16312,2020,Chandlers Valley,Warren,,0,,PA,,,,,,,,,,,,
16313,16313,2020,Clarendon,McKean,47115.0,1785,49.6,PA,19.6,8.8,17.9,4.3,97.3,0.1,0.9,0.7,1.0,5.2,81.6,15.9
16314,16314,2020,Cochranton,Venango,56596.0,5240,44.3,PA,7.1,11.7,10.0,3.3,96.0,0.6,0.6,0.3,2.5,3.6,84.0,9.9
16316,16316,2020,Conneaut Lake,Crawford,59212.0,4821,48.6,PA,7.3,15.4,13.9,3.3,97.3,0.1,1.5,0.3,0.8,3.6,80.8,12.2
16317,16317,2020,Cooperstown,Venango,49406.0,1327,48.2,PA,10.6,8.3,45.2,0.7,97.0,0.0,0.0,0.0,3.0,11.6,83.1,14.9
16319,16319,2020,Cranberry,Clarion,52426.0,1244,57.0,PA,3.3,10.4,0.0,1.1,99.7,0.0,0.2,0.0,0.1,1.2,94.7,8.5
16321,16321,2020,East Hickory,Forest,,31,72.3,PA,9.7,0.0,27.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,57.7,38.5
