name,address,county,state,zip,lat,lon,store_type_raw,authorization_date,GEOID,zcta,is_urban
Emery's Outlet Express,495 Main St,CLARION,PA,16213,41.12621,-79.55682,Small Grocery Store,2/16/2022,42031160500,16049,False
Family Dollar Store 10262,222 Water St,CLARION,PA,16028,40.98987,-79.6115,Combination Grocery/Other,11/7/2013,42031160701,16028,True
HIRSCH'S MEATS,1787 RTE 322BOX #1,CLARION,PA,16331,41.28553,-79.57445,Medium Grocery Store,2/9/1976,42031160300,16331,False
Hollenbaugh Hometown Meat Market,15702 Route 322,CLARION,PA,16214,41.20435,-79.34743,Small Grocery Store,1/23/2020,42031160104,16214,True
Jiffy Mini Mart #5,17933 Paint Blvd,CLARION,PA,16254,41.19733,-79.42582,Convenience Store,8/8/2022,42031160300,16254,False
Kaival Food Mart,401 Main St,CLARION,PA,16214,41.21563,-79.38678,Convenience Store,6/17/2025,42031160600,16214,True
Kwik Fill 214,22386 Route 68,CLARION,PA,16214,41.19032,-79.39336,Convenience Store,11/5/2018,42031160800,16214,False
LEEPER MARKET,32836 Route 66,CLARION,PA,16233,41.3702,-79.30432,Large Grocery Store,1/29/1975,42031160101,16233,False
M & S MEATS,1353 Brookville St,CLARION,PA,16224,41.00806,-79.31158,Meat/Poultry Specialty,6/19/1998,42031160900,16242,False
O'NEIL'S QUALITY FOODS,10929 Route 322,CLARION,PA,16254,41.23687,-79.41707,Medium Grocery Store,8/4/1989,42031160300,16254,False
PALMER'S COUNTRY STORE,10695 Route 66,CLARION,PA,16214,41.14771,-79.32607,Convenience Store,5/17/1995,42031160900,16214,False
Parker Country Market 0,104 N River Ave,CLARION,PA,16049,41.10199,-79.68179,Supermarket,1/16/2024,,16049,True
PUTNEYVILLE STORE,1047 State Route 1025,CLARION,PA,16242,40.94631,-79.31799,Convenience Store,10/22/1997,,16242,True
Sheetz 58,1281 E Main St,CLARION,PA,16214,41.20894,-79.36784,Convenience Store,3/28/1979,42031160600,16214,True
Sheetz 885,265 Holiday Inn Rd,CLARION,PA,16214,41.19438,-79.39133,Convenience Store,6/3/2025,42031160800,16214,False
The Sharp Shopper,100 Knox Rd,CLARION,PA,16232,41.21572,-79.53883,Super Store,1/3/2022,42031160400,16232,False
Tom s Riverside 773,632 Broad St,CLARION,PA,16242,41.00249,-79.32522,Super Store,4/1/1971,42031160800,16242,False
TOM'S RIVERSIDE #775,8868 Route 338,CLARION,PA,16232,41.22951,-79.52847,Supermarket,5/26/1977,42031160400,16232,False
TOM'S RIVERSIDE #789,562 Main St,CLARION,PA,16248,41.0419,-79.50269,Large Grocery Store,9/14/1983,42031160702,16248,True
University Korner,800 E Main St,CLARION,PA,16214,41.21243,-79.37984,Convenience Store,11/16/2016,42031160600,16214,True
University Korner N/A,1626 Bald Eagle St,CLARION,PA,16255,41.10819,-79.48985,Convenience Store,3/9/2020,42031160500,16255,False
University Korner N/A,160 E State St,CLARION,PA,16232,41.23486,-79.52827,Convenience Store,3/19/2020,42031160400,16232,False
University Korner - Rimersburg N/A,528 Main St,CLARION,PA,16248,41.04146,-79.50304,Convenience Store,3/9/2020,42031160702,16248,True
Walmart Supercenter 2540,63 Perkins Rd,CLARION,PA,16214,41.18999,-79.39488,Super Store,10/15/1997,42031160800,16214,False
ADLERS MKT,1184 Philipsburg Bigler Hwy,CLEARFIELD,PA,16866,40.90517,-78.23486,Meat/Poultry Specialty,4/1/1971,42033330900,16866,False
ALDI 60085 60085,5700 Shaffer Rd,CLEARFIELD,PA,15801,41.12346,-78.72704,Supermarket,12/10/2008,42033330100,15801,True
ALETTA'S FARM MARKET,4191 Curwensville Grampian Hwy,CLEARFIELD,PA,16833,40.97673,-78.54981,Small Grocery Store,9/27/1989,42033331401,16833,False
Amish Farmers Market,8908 Clearfield Curwensville Hwy,CLEARFIELD,PA,16830,40.98824,-78.47414,Farmers' Market,7/14/2023,42033331300,16830,True
BENTON'S MARKET,1272 MARKET STREET,CLEARFIELD,PA,16845,41.12062,-78.11486,Convenience Store,9/24/1986,42033330700,16845,False
Calliari's Bakery,318 Dubois St,CLEARFIELD,PA,15801,41.12475,-78.76524,Combination Grocery/Other,12/6/2013,42033330200,15801,True
City Market,308 E Market St,CLEARFIELD,PA,16830,41.02244,-78.43592,Convenience Store,9/9/2024,42033331100,16830,True
Country Butcher Inc.,135 Race St,CLEARFIELD,PA,16830,41.03161,-78.44048,Meat/Poultry Specialty,7/25/2023,42033330600,16830,True
Crick General Store,5789 Glen Hope Blvd,CLEARFIELD,PA,16645,40.79782,-78.50017,Convenience Store,11/2/2016,42033331600,16645,False
CVS 5709,405 W Dubois Ave,CLEARFIELD,PA,15801,41.12873,-78.76326,Combination Grocery/Other,1/28/2011,42033330200,15801,True
CVS Pharmacy 1919,815 N Front St,CLEARFIELD,PA,16866,40.90215,-78.22947,Combination Grocery/Other,3/25/2010,42033330900,16866,False
CVS Pharmacy 1685,3035 Park Pl,CLEARFIELD,PA,16830,41.02684,-78.43716,Combination Grocery/Other,2/21/2012,42033331100,16830,True
D & G Groceries,5806 Colonel Drake Hwy,CLEARFIELD,PA,15757,40.88742,-78.75213,Convenience Store,12/10/2020,42033331500,15757,False
DOLLAR GENERAL 3525,705 McAteer St,CLEARFIELD,PA,16651,40.82515,-78.35413,Combination Grocery/Other,6/29/2004,42033331700,16651,False
DOLLAR GENERAL 4123,1677 Dorsey Ave,CLEARFIELD,PA,16656,40.77293,-78.55001,Combination Grocery/Other,6/29/2004,42033331800,16656,False
DOLLAR GENERAL 7737,1120 Bigler Ave,CLEARFIELD,PA,16830,41.02734,-78.42276,Combination Grocery/Other,6/29/2004,42033331100,16830,True
DOLLAR GENERAL 4935,500 State St,CLEARFIELD,PA,16833,40.9757,-78.52748,Combination Grocery/Other,6/29/2004,42033331402,16833,False
Dollar General 9356,1002 S Brady St,CLEARFIELD,PA,15801,41.1054,-78.7713,Combination Grocery/Other,2/7/2005,42033330100,15801,True
Dollar General 10982,5750 Shaffer Rd,CLEARFIELD,PA,15801,41.12443,-78.72665,Combination Grocery/Other,3/10/2007,42033330100,15801,True
Dollar General 15841,1900 Kylertown Drifting Hwy,CLEARFIELD,PA,16847,40.9902,-78.16486,Combination Grocery/Other,9/10/2015,42033330800,16858,False
Dollar General 13907,3925 Walton St,CLEARFIELD,PA,16666,40.85963,-78.26304,Combination Grocery/Other,9/28/2016,42033330900,16666,False
DOLLAR GENERAL 18540,11915 Bennetts Valley Hwy,CLEARFIELD,PA,15849,41.20669,-78.57856,Combination Grocery/Other,4/9/2018,42033330500,15849,False
DOLLAR GENERAL 18823,48 1st St,CLEARFIELD,PA,16838,40.95826,-78.61178,Combination Grocery/Other,6/7/2018,42033331401,16838,False
Dollar General 20053,15760 Rockton Mountain Hwy,CLEARFIELD,PA,16830,41.04447,-78.46014,Combination Grocery/Other,8/30/2019,42033331300,16830,True
Dollar General 20955,2727 Main St,CLEARFIELD,PA,16661,40.82687,-78.43906,Combination Grocery/Other,1/6/2020,42033331600,16661,False
Dollar General 21258,4145 Morrisdale Allport Hwy,CLEARFIELD,PA,16858,40.95066,-78.22249,Combination Grocery/Other,7/20/2020,42033330800,16858,False
Dollar General 21511,1110 Carson Hill Rd,CLEARFIELD,PA,15801,41.06555,-78.73306,Combination Grocery/Other,11/13/2020,42033330500,15801,False
Dollar General 24186,1142 Fullerton St,CLEARFIELD,PA,16830,41.00475,-78.4581,Combination Grocery/Other,12/29/2022,42033331300,16843,True
Dollar General Store 16724,579 Woodland Bigler Hwy,CLEARFIELD,PA,16881,40.9915,-78.30761,Combination Grocery/Other,7/18/2016,42033331000,16881,False
Dollar General Store 10435,124 Walton St,CLEARFIELD,PA,16866,40.89225,-78.22441,Combination Grocery/Other,5/17/2017,42033330900,16866,False
Dollar Tree 2246,170 Plaza Dr,CLEARFIELD,PA,16830,41.02929,-78.41394,Combination Grocery/Other,9/21/2010,42033330600,16830,True
Dollar Tree 2421,160 Commons Dr,CLEARFIELD,PA,15801,41.12538,-78.73159,Combination Grocery/Other,8/10/2017,42033330100,15801,True
Fam Fuels #3,208 Filbert St,CLEARFIELD,PA,16833,40.9736,-78.52708,Convenience Store,7/3/2023,42033331402,16833,False
Family Dollar 2104,100 N Main St,CLEARFIELD,PA,15801,41.12328,-78.76757,Combination Grocery/Other,12/12/2019,42033330200,15801,True
Family Dollar Store 7087,1100 Old Town Rd,CLEARFIELD,PA,16830,40.82344,-78.70562,Combination Grocery/Other,5/30/2009,42033331900,15757,False
Family Dollar Store 10765,585 Mahaffey Grampian Hwy,CLEARFIELD,PA,15757,40.88198,-78.73365,Combination Grocery/Other,8/21/2014,42033331500,15757,False
FEZELL SAVE-A-LOT 24251,1000 S Brady St,CLEARFIELD,PA,15801,41.10438,-78.77148,Supermarket,8/26/2002,42033330100,15801,True
Fuel On,911 Walton St,CLEARFIELD,PA,16866,40.88855,-78.23013,Convenience Store,6/8/2020,42033330900,16866,False
Giant Eagle 84,100 N Main St,CLEARFIELD,PA,15801,41.12394,-78.76658,Super Store,8/20/2010,42033330200,15801,True
"GOODMAN'S FOODLINER, INC",335 State St,CLEARFIELD,PA,16833,40.97515,-78.52485,Supermarket,3/8/1993,42033331402,16833,False
GRAMPIAN ONE STOP,522 1st St,CLEARFIELD,PA,16838,40.96439,-78.60931,Convenience Store,7/7/2016,42033331401,16838,False
Houtzdale Shop N Save Express,541 Spring St,CLEARFIELD,PA,16651,40.82342,-78.3489,Supermarket,3/26/2015,42033331700,16651,False
J G Food Warehouse,200 River Rd,CLEARFIELD,PA,16830,41.02807,-78.43916,Supermarket,3/28/2023,42033331200,16830,True
Lakeside Market,5667 Bee Line Hwy,CLEARFIELD,PA,15801,41.15887,-78.66782,Convenience Store,5/23/2024,42033330400,15801,True
Leyos Inc,PO Box 397,CLEARFIELD,PA,16627,40.73448,-78.4893,Supermarket,11/4/1971,42033331800,16627,False
Martins Food Market 6325,22 Hoover Ave,CLEARFIELD,PA,15801,41.1191,-78.75603,Supermarket,8/19/2003,42033330300,15801,True
Mt. View Market Place,111 Rolling Stone Rd,CLEARFIELD,PA,16847,40.99137,-78.16747,Medium Grocery Store,12/10/2012,42033330800,16847,False
Nittany Minit Mart 212,1135 Main St,CLEARFIELD,PA,16627,40.75095,-78.53558,Convenience Store,8/16/1990,42033331800,16627,False
Nittany Minit Mart 246,40 Woodland Bigler Hwy,CLEARFIELD,PA,16881,40.98497,-78.3017,Convenience Store,3/26/2008,42033331000,16881,False
Nittany Minit Mart 239,12120 Bennetts Valley Hwy,CLEARFIELD,PA,15849,41.20796,-78.5752,Convenience Store,11/19/2008,42033330500,15849,False
Nittany Minit Mart 234,3904 Morrisdale Allport Hwy,CLEARFIELD,PA,16858,40.94836,-78.22611,Convenience Store,3/17/2016,42033330800,16858,False
Nittany Minit Mart 233,3843 Walton St,CLEARFIELD,PA,16666,40.86057,-78.2616,Convenience Store,4/6/2016,42033330900,16666,False
PALUMBO MEAT MARKET,326 W Long Ave,CLEARFIELD,PA,15801,41.12181,-78.76659,Supermarket,9/7/2016,42033330200,15801,True
Philipsburg Hometown Market,1323 Walton St,CLEARFIELD,PA,16866,40.88565,-78.23354,Super Store,10/28/2009,42033330900,16866,False
Pilot Travel Center 336,1742 Rich Hwy,CLEARFIELD,PA,15801,41.1408,-78.78377,Convenience Store,5/24/2017,42033330100,15801,True
Santinoceto's Italian Market,304 N 3rd St,CLEARFIELD,PA,16830,41.02567,-78.43639,Convenience Store,6/22/2016,42033331100,16830,True
Sapp Bros Travel Center,15196 Clearfield Shawville Hwy,CLEARFIELD,PA,16830,41.04363,-78.39477,Convenience Store,7/15/2016,42033330600,16830,True
Save-A-Lot,200 Plaza Dr,CLEARFIELD,PA,16830,41.02924,-78.41465,Supermarket,1/14/2022,42033330600,16830,True
Sheetz 63,701 E Dubois Ave,CLEARFIELD,PA,15801,41.12513,-78.74229,Convenience Store,8/23/1979,42033330300,15801,True
Sheetz 73,101 Nichols St,CLEARFIELD,PA,16830,41.0273,-78.44058,Convenience Store,12/12/1980,42033331200,16830,True
Sheetz 149,124 N Brady St,CLEARFIELD,PA,15801,41.11924,-78.76009,Convenience Store,8/7/1987,42033330300,15801,True
Sheetz 148,2120 Blinker Pkwy,CLEARFIELD,PA,15801,41.08347,-78.78347,Convenience Store,8/7/1987,42033330100,15801,True
Sheetz 252,14259 Clearfield Shawville Hwy,CLEARFIELD,PA,16830,41.03414,-78.40444,Convenience Store,5/21/1998,42033330600,16830,True
Snappy's 11,331 State St,CLEARFIELD,PA,16833,40.97496,-78.52432,Convenience Store,2/7/2014,42033331402,16833,False
Walmart Supercenter 2129,100 Supercenter Dr,CLEARFIELD,PA,16830,41.03191,-78.40234,Super Store,1/25/1995,42033330600,16830,True
Walmart Supercenter 1769,20 Industrial Dr,CLEARFIELD,PA,15801,41.12766,-78.73613,Super Store,11/6/2003,42033330100,15801,True
ALDI 69049,16500 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62314,-80.20585,Supermarket,8/16/2002,42039111800,16335,True
BUELL'S CORNERS STORE,44467 Buells Corners Rd,CRAWFORD,PA,16434,41.75213,-79.66969,Convenience Store,8/9/1989,42039110100,16434,False
Cambridge Grocery,110 Railroad St,CRAWFORD,PA,16403,41.80413,-80.05833,Convenience Store,12/22/2025,42039110202,16403,False
Country Fair 37,515 Main St,CRAWFORD,PA,16433,41.72106,-80.14825,Convenience Store,4/11/1979,42039110700,16433,False
Country Fair 58,110 W Adams St,CRAWFORD,PA,16314,41.52001,-80.04872,Convenience Store,4/12/1983,42039111300,16314,False
Country Fair 55,333 North St,CRAWFORD,PA,16335,41.64094,-80.14887,Convenience Store,4/21/1989,42039111500,16335,True
Country Fair 30,18163 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62085,-80.17364,Convenience Store,11/21/1989,42039111800,16335,True
Country Fair 45,122 Penn ST,CRAWFORD,PA,16424,41.65646,-80.42518,Convenience Store,12/7/2001,42039110400,16424,False
"Crawford County Liquidation Depot, LLC",6164 US Highway 6,CRAWFORD,PA,16424,41.6566,-80.40707,Medium Grocery Store,4/4/2024,42039110400,16424,False
CVS Pharmacy 5099,392 North St,CRAWFORD,PA,16335,41.63994,-80.14764,Combination Grocery/Other,5/12/2000,42039111500,16335,True
CVS PHARMACY 5097,110 E Central Ave,CRAWFORD,PA,16354,41.62745,-79.67272,Combination Grocery/Other,6/11/2003,42039111100,16354,True
DOLLAR GENERAL 2413,128 W Spring St,CRAWFORD,PA,16354,41.62652,-79.67422,Combination Grocery/Other,6/29/2004,42039111100,16354,True
DOLLAR GENERAL 4964,900 WATER ST-DOWNTOWN MALL,CRAWFORD,PA,16335,41.63869,-80.15562,Combination Grocery/Other,6/29/2004,42039111600,16335,True
DOLLAR GENERAL 2446,11102 Perry Hwy,CRAWFORD,PA,16335,41.61846,-80.2015,Combination Grocery/Other,6/29/2004,42039111800,16335,True
DOLLAR GENERAL 9470,6304 US Highway 6,CRAWFORD,PA,16424,41.65598,-80.40401,Combination Grocery/Other,9/22/2004,42039110400,16424,False
Dollar General 6560,12853 Conneaut Lake Rd,CRAWFORD,PA,16316,41.60825,-80.28086,Combination Grocery/Other,12/7/2004,42039110502,16316,True
Dollar General 6289,742 Venango Ave,CRAWFORD,PA,16403,41.79871,-80.07064,Combination Grocery/Other,2/7/2005,42039110202,16403,False
Dollar General 12873,1801 Highway 285,CRAWFORD,PA,16424,41.60547,-80.48925,Combination Grocery/Other,8/16/2011,42039112002,16424,False
Dollar General 13172,178 N Franklin St,CRAWFORD,PA,16314,41.52618,-80.05346,Combination Grocery/Other,10/5/2011,42039111300,16314,False
Dollar General 12882,533 Main St,CRAWFORD,PA,16433,41.7215,-80.14879,Combination Grocery/Other,10/6/2011,42039110700,16433,False
Dollar General 13022,1901 Main St,CRAWFORD,PA,16404,41.75024,-80.36174,Combination Grocery/Other,12/9/2011,42039110300,16406,False
Dollar General 13230,33912 Highway 408,CRAWFORD,PA,16360,41.67297,-79.87179,Combination Grocery/Other,9/10/2012,42039110900,16360,False
Dollar General 18479,24467 State Highway 8,CRAWFORD,PA,16438,41.81935,-79.80786,Combination Grocery/Other,10/3/2018,42039110100,16438,False
Dollar General 19674,12543 Reed Ave,CRAWFORD,PA,16316,41.63724,-80.31937,Combination Grocery/Other,1/30/2019,42039110501,16316,False
Dollar General 19881,7735 McHenry St,CRAWFORD,PA,16335,41.61119,-80.15269,Combination Grocery/Other,6/11/2019,42039111400,16335,True
Dollar General 19958,6278 Main St,CRAWFORD,PA,16131,41.54507,-80.37727,Combination Grocery/Other,6/11/2019,42039111900,16131,False
Dollar General 22124,155 N Main St,CRAWFORD,PA,16435,41.80456,-80.37083,Combination Grocery/Other,4/16/2021,42039110300,16435,False
Dollar General 23409,2050 W Center Rd,CRAWFORD,PA,16424,41.71315,-80.49007,Combination Grocery/Other,6/7/2022,42039110400,16424,False
Dollar General 30968,17940 Erie St,CRAWFORD,PA,16404,41.72662,-79.76054,Combination Grocery/Other,6/20/2025,42039110100,16404,False
Dollar General 31245,43194 State Highway 77,CRAWFORD,PA,16434,41.80607,-79.70057,Combination Grocery/Other,9/15/2025,42039110100,16434,False
Dollar General Store 16908,24095 State Highway 77,CRAWFORD,PA,16335,41.67297,-80.06101,Combination Grocery/Other,10/31/2016,42039110700,16335,False
Dollar Tree 5425,324 W Central Ave,CRAWFORD,PA,16354,41.6271,-79.67754,Combination Grocery/Other,4/22/2014,42039111200,16354,True
Dollar Tree 942,16039 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62015,-80.21502,Combination Grocery/Other,4/24/2014,42039111800,16335,True
Dollar Tree 7464,1121 Park Ave,CRAWFORD,PA,16335,41.63249,-80.15479,Combination Grocery/Other,8/9/2018,42039111600,16335,True
Family Dollar 8809,18971 Park Avenue Plz,CRAWFORD,PA,16335,41.62261,-80.1623,Combination Grocery/Other,10/24/2011,42039111800,16335,True
Family Dollar 10772,368 Main St,CRAWFORD,PA,16434,41.82417,-79.68537,Combination Grocery/Other,8/6/2015,42039110100,16434,False
Family Dollar 12929,800 Main St,CRAWFORD,PA,16406,41.75878,-80.37051,Combination Grocery/Other,3/12/2024,42039110300,16406,False
GetGo 3288,103 S Perry St,CRAWFORD,PA,16354,41.62669,-79.67747,Convenience Store,6/30/2025,42039111100,16354,True
Giant Eagle 88,110 S Martin St,CRAWFORD,PA,16354,41.626,-79.67014,Super Store,8/20/2010,42039111100,16354,True
Giant Eagle 95,175 Smock Hwy,CRAWFORD,PA,16335,41.6201,-80.16678,Super Store,4/2/2019,42039111800,16335,True
Golden Dawn,450 State St,CRAWFORD,PA,16316,41.60191,-80.30711,Supermarket,6/25/2024,42039110502,16316,True
Grocery Outlet Of Meadville 781,18993 Park Avenue Plz,CRAWFORD,PA,16335,41.62365,-80.16183,Supermarket,2/14/2025,42039111800,16335,True
H & H Market Place,201 Main St,CRAWFORD,PA,16433,41.71477,-80.14636,Supermarket,5/8/1975,42039110700,16433,False
Hawks Grocery And Smokehouse,13087 Main St,CRAWFORD,PA,16354,41.65679,-79.7289,Medium Grocery Store,9/10/2013,42039111000,16328,False
Hill Top Processing,4908 Fisher Rd,CRAWFORD,PA,16406,41.78513,-80.43423,Combination Grocery/Other,7/22/2021,42039110300,16435,False
Kwik Fill 174,135 N Main St,CRAWFORD,PA,16403,41.80548,-80.05533,Convenience Store,7/5/1994,42039110202,16403,False
Kwik Fill 166,270 Main St,CRAWFORD,PA,16433,41.71608,-80.14722,Convenience Store,11/5/2018,42039110700,16433,False
Kwik Fill 393,471 North St,CRAWFORD,PA,16335,41.63968,-80.14448,Convenience Store,11/5/2018,42039111500,16335,True
Kwik Fill 200,1001 E Spring St,CRAWFORD,PA,16354,41.62641,-79.6547,Convenience Store,11/5/2018,42039111100,16354,True
Kwik Fill 304,21268 Blooming Valley Rd,CRAWFORD,PA,16335,41.65319,-80.11492,Convenience Store,11/5/2018,42039111400,16335,True
Kwik Fill 167,275 Linden St,CRAWFORD,PA,16335,41.62978,-80.15494,Convenience Store,11/5/2018,42039111600,16335,True
Lakeside Meats Inc,11025 State Highway 18,CRAWFORD,PA,16316,41.61549,-80.28886,Small Grocery Store,7/7/2017,42039110502,16316,True
"Last Stop Beverage, Inc",24339 US 322,CRAWFORD,PA,16314,41.53693,-80.07897,Convenience Store,12/12/2022,42039111300,16314,False
LINCAN FOOD MART,35733 Danner Dr,CRAWFORD,PA,16438,41.80323,-79.8402,Convenience Store,4/13/1998,42039110100,16438,False
LIVINGSTON QUALITY MEATS,"85 WATER ST., BOX 5181",CRAWFORD,PA,16316,41.60317,-80.30141,Small Grocery Store,5/20/1998,42039110502,16316,True
Malady's Meat Market,19043 Park Avenue Plz,CRAWFORD,PA,16335,41.62378,-80.15979,Meat/Poultry Specialty,4/24/2024,42039111800,16335,True
MARKET PLACE,115 W Adams St,CRAWFORD,PA,16314,41.51995,-80.04871,Large Grocery Store,12/4/1984,42039111300,16314,False
MILLER'S COUNTRY STORE,19177 Highway 285,CRAWFORD,PA,16314,41.52639,-80.15031,Medium Grocery Store,5/13/2003,42039111300,16314,False
Millers Farm Market,12170 Townline Rd,CRAWFORD,PA,16335,41.63677,-80.0942,Medium Grocery Store,2/17/2015,42039110800,16335,False
Quick Stop Food Store 1,324 Pine St,CRAWFORD,PA,16335,41.63488,-80.15176,Convenience Store,2/21/2024,42039111600,16335,True
Ray s Marketplace,6131 Highway 6,CRAWFORD,PA,16424,41.65498,-80.40763,Large Grocery Store,3/22/1985,42039110400,16424,False
Save A Lot 30192,111 Diamond St,CRAWFORD,PA,16354,41.62595,-79.67262,Supermarket,12/1/2025,42039111100,16354,True
Sh Food Mart,12211 Lakeside Dr,CRAWFORD,PA,16316,41.61502,-80.2884,Convenience Store,11/24/2025,42039110502,16316,True
Sheetz 153,18425 Smock Hwy,CRAWFORD,PA,16335,41.62004,-80.16877,Convenience Store,11/5/1987,42039111800,16335,True
Sheetz 159,315 Water St,CRAWFORD,PA,16316,41.60294,-80.30516,Convenience Store,5/5/1988,42039110502,16316,True
Sheetz 337,16590 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62297,-80.20483,Convenience Store,12/18/2002,42039111800,16335,True
Sheetz 502,331 W Central Ave,CRAWFORD,PA,16354,41.62684,-79.67877,Convenience Store,4/22/2013,42039111100,16354,True
Shree Shakti Inc,16401 Harmonsburg Rd,CRAWFORD,PA,16335,41.64727,-80.20869,Convenience Store,2/22/2023,42039111800,16335,True
Titusville Market Square,101 N Franklin St,CRAWFORD,PA,16354,41.62726,-79.67382,Convenience Store,4/20/2021,42039111200,16354,True
Tops Markets 670,144 W Center St,CRAWFORD,PA,16335,41.63988,-80.15585,Supermarket,7/1/1992,42039111600,16335,True
VALESKY'S,1044 Water St,CRAWFORD,PA,16335,41.63546,-80.15693,Super Store,7/1/1995,42039111600,16335,True
Vernas Discount Grocery,560 Washington St,CRAWFORD,PA,16335,41.64043,-80.14053,Medium Grocery Store,10/3/2023,42039111500,16335,True
Walgreens 10837,379 North St,CRAWFORD,PA,16335,41.64058,-80.14767,Combination Grocery/Other,10/27/2008,42039111500,16335,True
Walmart 1656,16086 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62225,-80.21403,Super Store,3/25/1998,42039111800,16335,True
Walmart Supercenter 5360,11415 Hydetown Rd,CRAWFORD,PA,16354,41.63377,-79.69634,Super Store,7/1/2005,42039111000,16354,False
Winding Creek Farm,24999 Highway 99,CRAWFORD,PA,16403,41.82931,-80.08051,Medium Grocery Store,3/2/2012,42039110201,16403,False
ALDI 69032,32 South St. Marys Street,ELK,PA,15857,41.4268,-78.56207,Supermarket,5/16/2023,42047951100,15857,True
Corner Market & Deli Inc,421 Main St,ELK,PA,15846,41.36129,-78.61074,Convenience Store,9/23/2021,42047951000,15846,False
CVS Pharmacy 1686,236 Grant St,ELK,PA,15845,41.48706,-78.67716,Combination Grocery/Other,3/25/2010,42047950500,15845,False
DELULLO'S MARKET,19 John St,ELK,PA,15857,41.43003,-78.55174,Convenience Store,5/19/1989,42047951200,15857,False
DOLLAR GENERAL 4430,249 Main St,ELK,PA,15853,41.42225,-78.72993,Combination Grocery/Other,8/11/2004,42047950400,15853,True
Dollar General 11928,822 S Saint Marys Rd,ELK,PA,15857,41.41092,-78.56192,Combination Grocery/Other,10/21/2009,42047951100,15857,True
Dollar General 20522,34 Crestview Rd,ELK,PA,15857,41.43129,-78.51839,Combination Grocery/Other,10/7/2019,42047951300,15857,True
Dollar General 24971,4871 Route 219,ELK,PA,15823,41.25625,-78.73064,Combination Grocery/Other,11/3/2023,42047951000,15823,False
Dollar General Store 16972,283 Fairview Rd,ELK,PA,15846,41.36181,-78.59131,Combination Grocery/Other,6/23/2016,42047951000,15846,False
Dollar Tree 1175,867 S Saint Marys St,ELK,PA,15857,41.40961,-78.5606,Combination Grocery/Other,5/7/2010,42047951300,15857,True
