geoid,county,year,NAME,total_households,hh_bottom,hh_middle,hh_top,share_bottom,share_middle,share_top,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus,share_under_10k,share_10k_15k,share_15k_20k,share_20k_25k,share_25k_30k,share_30k_35k,share_35k_40k,share_40k_45k,share_45k_50k,share_50k_60k,share_60k_75k,share_75k_100k,share_100k_125k,share_125k_150k,share_150k_200k,share_200k_plus
42039111000,Crawford,2019,"Census Tract 1110, Crawford County, Pennsylvania",1115,389,418,308,34.89,37.49,27.62,83,23,50,66,86,81,71,53,65,103,126,167,89,17,22,13,7.44,2.06,4.48,5.92,7.71,7.26,6.37,4.75,5.83,9.24,11.3,14.98,7.98,1.52,1.97,1.17
42039111000,Crawford,2020,"Census Tract 1110, Crawford County, Pennsylvania",1161,422,428,311,36.35,36.86,26.79,104,35,57,60,62,104,79,57,58,82,152,194,80,6,18,13,8.96,3.01,4.91,5.17,5.34,8.96,6.8,4.91,5.0,7.06,13.09,16.71,6.89,0.52,1.55,1.12
42039111000,Crawford,2021,"Census Tract 1110, Crawford County, Pennsylvania",1074,389,375,310,36.22,34.92,28.86,85,26,64,67,74,73,62,32,62,92,127,132,107,18,24,29,7.91,2.42,5.96,6.24,6.89,6.8,5.77,2.98,5.77,8.57,11.82,12.29,9.96,1.68,2.23,2.7
42039111000,Crawford,2022,Census Tract 1110; Crawford County; Pennsylvania,1028,341,354,333,33.17,34.44,32.39,48,33,49,70,55,86,44,59,28,101,122,110,124,48,14,37,4.67,3.21,4.77,6.81,5.35,8.37,4.28,5.74,2.72,9.82,11.87,10.7,12.06,4.67,1.36,3.6
42039111000,Crawford,2023,Census Tract 1110; Crawford County; Pennsylvania,1008,284,395,329,28.17,39.19,32.64,47,38,41,73,28,57,81,52,38,88,136,92,127,46,27,37,4.66,3.77,4.07,7.24,2.78,5.65,8.04,5.16,3.77,8.73,13.49,9.13,12.6,4.56,2.68,3.67
42039111100,Crawford,2019,"Census Tract 1111, Crawford County, Pennsylvania",1281,672,446,163,52.46,34.82,12.72,180,143,109,83,83,74,90,61,92,53,150,83,57,13,0,10,14.05,11.16,8.51,6.48,6.48,5.78,7.03,4.76,7.18,4.14,11.71,6.48,4.45,1.01,0.0,0.78
42039111100,Crawford,2020,"Census Tract 1111, Crawford County, Pennsylvania",1352,684,430,238,50.59,31.8,17.6,219,146,112,121,42,44,85,44,73,38,190,133,79,17,0,9,16.2,10.8,8.28,8.95,3.11,3.25,6.29,3.25,5.4,2.81,14.05,9.84,5.84,1.26,0.0,0.67
42039111100,Crawford,2021,"Census Tract 1111, Crawford County, Pennsylvania",1411,811,407,193,57.48,28.84,13.68,160,237,108,195,71,40,111,30,41,23,202,91,68,26,0,8,11.34,16.8,7.65,13.82,5.03,2.83,7.87,2.13,2.91,1.63,14.32,6.45,4.82,1.84,0.0,0.57
42039111100,Crawford,2022,Census Tract 1111; Crawford County; Pennsylvania,1445,845,342,258,58.48,23.67,17.85,66,294,149,211,65,60,49,122,23,67,81,148,50,54,6,0,4.57,20.35,10.31,14.6,4.5,4.15,3.39,8.44,1.59,4.64,5.61,10.24,3.46,3.74,0.42,0.0
42039111100,Crawford,2023,Census Tract 1111; Crawford County; Pennsylvania,1463,887,301,275,60.63,20.57,18.8,65,240,181,261,49,91,53,83,22,86,57,127,62,52,25,9,4.44,16.4,12.37,17.84,3.35,6.22,3.62,5.67,1.5,5.88,3.9,8.68,4.24,3.55,1.71,0.62
42039111200,Crawford,2019,"Census Tract 1112, Crawford County, Pennsylvania",1035,466,328,241,45.02,31.69,23.29,80,45,71,107,75,88,48,75,35,85,85,128,31,24,38,20,7.73,4.35,6.86,10.34,7.25,8.5,4.64,7.25,3.38,8.21,8.21,12.37,3.0,2.32,3.67,1.93
