ZCTA5CE20,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles,nearest_pantry_miles,nearest_snap_miles,no_vehicle_rate,poverty_rate,median_household_income,total_population,area_name,county_name,unemployment_rate,no_insurance_rate
15868,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,3,4.69,120901.43494298388,75.12,111788.99790811658,69.46,112998.26941985967,70.21,136370.68328672845,84.74,119642.33476552114,74.34,112060.33760434623,69.63,10.69,2.05,1.8,11.0,61042.0,1596,Weedville,Clearfield,4.6,7.0
15763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,103685.26740839751,64.43,92992.04032269747,57.78,93627.91263549808,58.18,118087.29560785044,73.38,102418.4536944792,63.64,93428.31263839932,58.05,9.06,4.45,0.0,0.0,,22,Northpoint,Jefferson,0.0,
15733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,109429.82503066029,68.0,93731.98899770612,58.24,94554.60400956584,58.75,123152.99119997089,76.52,103174.20966844812,64.11,94145.65685924837,58.5,2.98,1.95,45.9,12.7,,71,De Lancey,Jefferson,0.0,7.4
16345,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,3.18,52675.54137743989,32.73,61344.79135889668,38.12,52765.44443497391,32.79,57624.39008535359,35.81,52851.0635570617,32.84,61217.570883674285,38.04,8.27,3.18,2.9,6.3,94722.0,3602,Russell,Warren,7.2,6.1
16312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,34045.7353498669,21.16,45582.83212020498,28.32,34143.1684331855,21.22,41375.54398937042,25.71,34220.53623585228,21.26,45373.37399949222,28.19,4.04,3.31,,,,0,Chandlers Valley,Warren,,
16326,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,4,4,0.68,54867.264262746896,34.09,36113.76917050442,22.44,36854.71898127067,22.9,67141.58966067624,41.72,45582.213660808375,28.32,36540.613082653166,22.71,8.68,0.69,2.2,5.4,83365.0,316,Fryburg,Clarion,0.0,8.2
16314,0,1,1,0,1,0,0,2,1,0,0,0,12,0,1,3,5,28,0.9,1458.2545268393887,0.91,15106.572063444468,9.39,13484.844269210167,8.38,15056.28694267951,9.36,14646.04103603036,9.1,4912.14497527205,3.05,9.1,0.9,3.9,8.1,70021.0,5439,Cochranton,Venango,5.4,7.5
16327,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,13,5.3,14155.344487166867,8.8,15601.549134918429,9.69,14795.460727817492,9.19,15671.324801861329,9.74,15538.29309238734,9.66,11212.84978227814,6.97,9.58,0.28,4.5,9.1,70893.0,2544,Guys Mills,Venango,1.4,7.5
16131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0.28,20992.637996967147,13.04,21796.03262417735,13.54,12982.350000589571,8.07,21369.09869588352,13.28,20067.78387627049,12.47,20966.006214198947,13.03,7.54,0.29,5.8,15.3,62989.0,784,Hartstown,Crawford,6.3,9.4
16110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.27,24840.283429280928,15.44,25648.012715440236,15.94,17376.026728264056,10.8,25221.578180976423,15.67,23856.263013004216,14.82,24825.540283909755,15.43,10.84,1.27,14.5,3.4,82938.0,380,Adamsville,Crawford,0.0,8.9
16233,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,2,5,5,1.55,61782.105872579625,38.39,45288.84917083937,28.14,46245.2166913652,28.74,76114.71757035726,47.3,54569.12304644337,33.91,45675.6187364938,28.38,10.96,1.32,2.1,1.9,89787.0,1148,Leeper,Jefferson,0.7,6.9
16692,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,4.49,140631.88844530625,87.38,126112.38849227114,78.36,126929.51020639758,78.87,154688.0956976701,96.12,135556.82645850032,84.23,126526.7131628734,78.62,17.94,2.65,10.8,13.2,70893.0,912,Westover,Clearfield,10.9,9.6
16861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,144333.36030095743,89.68,129185.2849603804,80.27,130149.91291910934,80.87,159295.97832411007,98.98,138410.32200932552,86.0,129568.16129444414,80.51,12.07,4.92,13.2,27.7,21985.0,274,New Millport,Clearfield,9.4,9.1
16361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,56547.67401768423,35.14,39393.31311846215,24.48,40313.473062580975,25.05,70596.06010009791,43.87,48743.52117808849,30.29,39789.29237225226,24.72,9.41,2.26,0.0,0.0,88750.0,38,Tylersburg,Clarion,0.0,8.4
15849,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,2.28,118608.61380794496,73.7,106716.29635619928,66.31,107845.18605483702,67.01,134031.02948321012,83.28,115274.97739968,71.63,107038.95550517103,66.51,11.03,2.26,4.9,14.6,59412.0,1285,Penfield,Clearfield,3.2,8.8
15721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.0,132037.078547917,82.04,117292.93454622437,72.88,118109.84247183992,73.39,146028.27656347555,90.74,126737.83211891846,78.75,117707.35016756615,73.14,12.5,0.03,30.1,36.5,43750.0,167,Burnside,Clearfield,30.0,9.3
16054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,52804.74900639666,32.81,53023.118455856886,32.95,53071.054510676746,32.98,67650.94903436386,42.04,61133.79427785562,37.99,53450.4616736563,33.21,6.27,3.02,0.7,5.9,70250.0,358,Saint Petersburg,Clarion,9.7,8.7
