TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
011802,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,2843.3382531414572,1.77,11153.027804785392,6.93,32327.839460765605,20.09,11262.423091711134,7.0,13354.6402190179,8.3,11197.52040986824,6.96,31892.989367430462,19.82
001900,0,0,0,0,1,0,0,0,0,3,2,0,0,1,2,1,1,14,288.68890927391965,0.18,1675.0485273932784,1.04,200.467280311051,0.12,309.5624617840189,0.19,1753.330898527852,1.09,228.3971824171254,0.14,33.315628032800376,0.02
002000,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,6,628.3721733892929,0.39,1548.7280416289134,0.96,979.5930036733822,0.61,618.6247639446859,0.38,2153.3178363757006,1.34,758.3492652993023,0.47,1061.3848430469595,0.66
012002,1,0,0,0,0,0,0,2,0,0,0,1,3,1,0,1,3,11,295.779026618031,0.18,12680.76948057027,7.88,28413.43999378131,17.66,13585.959934994007,8.44,277.7820096514746,0.17,545.7189332682251,0.34,22572.08224426686,14.03
002500,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,4,396.34442127695536,0.25,1400.6714718186035,0.87,963.4608671611235,0.6,374.96601450370207,0.23,1192.1633028427389,0.74,929.3718715392743,0.58,838.1300164607964,0.52
000200,0,0,0,0,1,0,0,2,0,1,4,0,2,0,1,1,3,16,1232.0477070122045,0.77,1223.2297511146285,0.76,760.0148549432937,0.47,833.7802316245069,0.52,3306.3214256037036,2.05,2752.3949739416885,1.71,937.415625817671,0.58
000300,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,7,445.3546790980548,0.28,1385.7357347144577,0.86,1318.4449646029877,0.82,950.8723215786705,0.59,1159.7417293899841,0.72,1645.031782877328,1.02,401.0961899033428,0.25
011002,2,0,0,0,3,0,0,2,1,0,16,1,4,0,4,5,7,49,706.842491975956,0.44,1075.0220711909785,0.67,1297.518211730913,0.81,436.24181120088764,0.27,204.9837489521648,0.13,3285.284565658601,2.04,540.8952235841012,0.34
000100,0,0,1,1,2,0,0,5,0,0,1,1,3,1,3,4,9,37,95.0251711879897,0.06,891.628327594411,0.55,521.7727246291123,0.32,347.45335324261504,0.22,468.56369416993823,0.29,29.435078374106023,0.02,214.68825768252407,0.13
000500,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,2,5,11,411.39304194621155,0.26,1494.152441066135,0.93,2308.002868096211,1.43,378.151531421588,0.23,2222.71529960049,1.38,198.7284289314786,0.12,190.21679871499197,0.12
