ZCTA5CE20,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
16410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5019.383616959705,3.12,8956.257228249257,5.57,21345.502463118144,13.26,5722.260208532151,3.56,5626.582717886507,3.5,5975.255653646417,3.71,5916.192596121762,3.68
16475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.8139636957692,1.01,14203.902684005221,8.83,28049.65377451867,17.43,1585.7999740915786,0.99,1724.2368996217886,1.07,1672.1786548120099,1.04,1568.1111326348707,0.97
16428,0,0,0,2,4,0,1,7,1,0,6,1,7,0,4,6,15,54,1796.3410923635017,1.12,4558.398248780834,2.83,20945.417345288064,13.01,4165.868710506431,2.59,4661.677679324466,2.9,13690.777599261068,8.51,4131.447707133285,2.57
16403,1,0,1,3,2,0,0,3,0,0,0,1,10,0,0,7,10,31,3387.564348866106,2.1,13121.9022249192,8.15,19593.344177936924,12.17,12739.062761531055,7.92,3305.269530426566,2.05,11695.20527510221,7.27,13836.754381468458,8.6
16627,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2230.4269228325425,1.39,155068.89936809355,96.36,139145.81383286047,86.46,140057.24106534268,87.03,169831.20680551996,105.53,148479.57217383746,92.26,139541.75773425496,86.71
16442,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,1,3,11,3197.7124923267843,1.99,17088.064683213597,10.62,20764.127879517924,12.9,16846.245182608425,10.47,12065.129386748506,7.5,15771.91599739913,9.8,18328.18631447067,11.39
16028,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,5,5,4202.029191588472,2.61,72129.81249940151,44.82,75240.10109777168,46.75,75294.3707203091,46.79,87025.48490395289,54.08,83330.77518983446,51.78,75668.4475716872,47.02
16222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13291.63841891354,8.26,98720.30308837802,61.34,91732.20507013243,57.0,92225.09540856953,57.31,113433.43660341253,70.48,100986.17750884534,62.75,92176.13941445033,57.28
15742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5570.22602298779,3.46,127289.39295377838,79.09,113939.78213603725,70.8,114703.632186392,71.27,141467.3108352983,87.9,123406.69936066637,76.68,114362.20308865925,71.06
15861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5539.863038401636,3.44,145778.3183181828,90.58,138652.74067281903,86.16,139895.04919214817,86.93,161078.9741678201,100.09,145917.68446878166,90.67,138891.6161042091,86.3
16242,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,3,10,10,2401.5355113004025,1.49,82493.83476841623,51.26,75136.81424470252,46.69,75600.20355612585,46.98,97096.42134890836,60.33,84343.01284162304,52.41,75581.49065699293,46.96
15846,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,4,4,3679.8787544823563,2.29,104726.21935010926,65.07,94985.1230757462,59.02,96185.61656780695,59.77,120212.41974275965,74.7,102960.2925534707,63.98,95263.68338401582,59.19
16049,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1001.7877672392024,0.62,57442.16138105538,35.69,59689.04263267972,37.09,59702.00196892055,37.1,72360.40081685442,44.96,67655.45904737791,42.04,60112.9971226093,37.35
16746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,12096.203386999454,7.52,128747.03272969152,80.0,129444.74758292802,80.43,128807.10334425699,80.04,137167.9797694798,85.23,128915.21149445651,80.1,129524.27567304179,80.48
15860,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,14984.384552106036,9.31,75505.744979552,46.92,61894.87853625022,38.46,62988.933784501925,39.14,90636.48557804314,56.32,70700.43587055647,43.93,62234.731645346925,38.67
15857,4,0,2,2,11,0,1,11,0,0,0,0,0,0,0,19,34,34,3125.3066230577165,1.94,104366.07539179047,64.85,97573.52027150248,60.63,98829.53184506134,61.41,119698.66557337828,74.38,104504.17810352393,64.94,97794.79686475094,60.77
15711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5560.725698981914,3.46,107959.44924357491,67.08,91740.26769050813,57.0,92578.87645932312,57.53,121579.77599375276,75.55,101170.3824831177,62.86,92151.20332386451,57.26
15776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5021.301043025711,3.12,97124.66070491934,60.35,83569.25997202889,51.93,84294.42456326162,52.38,111112.94552637677,69.04,93036.81535503786,57.81,83996.84042449282,52.19
15780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6307.4955714083735,3.92,107624.7951964633,66.88,95275.52158937139,59.2,95977.36360068775,59.64,121847.80504681982,75.71,104737.91123521872,65.08,95705.61952503158,59.47
16313,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,7394.80847881904,4.59,46952.43206006233,29.17,46110.30695249543,28.65,46986.89992088116,29.2,61890.39640656871,38.46,47105.7489280518,29.27,46157.8401293858,28.68
16352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5038.537092507924,3.13,54472.46036202138,33.85,55531.672124842524,34.51,54521.714171772306,33.88,68846.31848031063,42.78,54635.132653535285,33.95,55555.80295106827,34.52
16434,0,0,1,1,2,0,0,3,1,0,1,0,1,1,0,4,7,16,3029.3996032300147,1.88,3708.689998212117,2.3,17866.247361185684,11.1,3638.3795414429364,2.26,18719.662493206633,11.63,3745.1495190718715,2.33,17453.3705713847,10.85
16420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10876.333954130398,6.76,18606.114041333654,11.56,13083.321001483457,8.13,14202.722418131132,8.83,33613.38482674535,20.89,16736.069873996155,10.4,12992.037846193049,8.07
16235,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3,3,653.3380117966426,0.41,62936.44843317181,39.11,44659.74595586328,27.75,45454.955851595616,28.24,75817.7701629017,47.11,54120.62695743299,33.63,45078.818456406036,28.01
16258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6357.706369971672,3.95,73135.754890466,45.44,56248.61064989209,34.95,57026.203820950745,35.43,86266.33984796026,53.6,65713.82873728324,40.83,56669.86206057191,35.21
16145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12288.660535713096,7.64,15725.651603952125,9.77,29054.844634211757,18.05,26571.602610775273,16.51,28903.14997966933,17.96,28150.028680175707,17.49,19659.614100192764,12.22
16374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8547.17298716178,5.31,35759.98933211728,22.22,42769.51078983265,26.58,42445.129876971354,26.37,50674.06163721498,31.49,49332.074810485276,30.65,39181.360853260834,24.35
17764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25776.74295541457,16.02,164063.9572160411,101.94,158054.32088712387,98.21,159310.5259815879,98.99,179192.42069827742,111.35,164209.68487255563,102.04,158274.82072172014,98.35
15730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6525.996481836574,4.06,98647.07418129467,61.3,84025.20653902866,52.21,84791.48894461953,52.69,112479.54602944317,69.89,93492.03500319924,58.09,84447.55044888487,52.47
15832,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4928.189330988834,3.06,135335.57188339348,84.09,128215.52622016262,79.67,129459.75945764381,80.44,150649.05734005678,93.61,135474.38889081814,84.18,128452.18504592418,79.82
15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498.907611049556,2.17,114444.7119477917,71.11,98341.50803979526,61.11,99259.05584925096,61.68,129097.22011484038,80.22,107670.34053152177,66.9,98736.39231885762,61.35
16405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3811.0072970499714,2.37,17943.506473789326,11.15,35904.84191133147,22.31,18065.594574729606,11.23,26358.552332019208,16.38,18096.878978541255,11.24,35555.97784413088,22.09
16323,2,0,2,2,8,0,0,7,0,0,0,0,0,0,0,14,28,28,1201.5108746842282,0.75,22504.00215504124,13.98,27561.930225804197,17.13,26987.507120579317,16.77,36679.25932900683,22.79,32976.44270392058,20.49,25076.00203450345,15.58
16328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,423.18363816603363,0.26,19538.330330798275,12.14,4373.926243115124,2.72,3276.59068308144,2.04,29046.1009241912,18.05,5993.788966245413,3.72,4075.0965978051036,2.53
16111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7146.103460053402,4.44,17086.900177737854,10.62,17869.03379213009,11.1,10972.100011102706,6.82,17458.71849295804,10.85,16080.617477982976,9.99,17085.435630295782,10.62
16311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7082.472923401271,4.4,7872.042911814835,4.89,22506.682995922685,13.99,20702.88437803479,12.86,22445.82242658225,13.95,21977.261329687724,13.66,11812.129776007845,7.34
16440,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,3,2339.176479844459,1.45,9843.77742374466,6.12,16132.961397003633,10.02,7650.227827926515,4.75,6709.326252079085,4.17,8923.007390664281,5.54,11312.725377859339,7.03
16220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6053.558473387217,3.76,57124.11267109197,35.5,41979.42040657253,26.08,43033.50455259546,26.74,71819.20990698141,44.63,50995.093986491986,31.69,42336.20895321042,26.31
16656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3907.928137512964,2.43,147059.8069559967,91.38,131144.07392227778,81.49,132058.78330602014,82.06,161816.24829880815,100.55,140472.98761098,87.29,131539.3218216272,81.73
16680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7571.207020500798,4.7,160547.57374091883,99.76,145188.69452731073,90.22,146135.0037488677,90.8,175473.1279143294,109.03,154453.81620892743,95.97,145576.2538148995,90.46
16616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4933.792977056697,3.07,156421.1852372313,97.2,140901.77745806478,87.55,141839.28236469085,88.14,171300.59948138642,106.44,150186.16002317757,93.32,141291.5603768942,87.79
16134,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,7,8076.681716373094,5.02,30007.309155123872,18.65,30813.422239480125,19.15,22034.530841619577,13.69,30385.552766395496,18.88,29068.64380396207,18.06,29982.666713970582,18.63
16036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3823.122606486482,2.38,54044.7499976436,33.58,55363.64932072224,34.4,55384.78581872649,34.41,68936.48042788524,42.84,63371.28253284257,39.38,55788.35926184218,34.67
16849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5438.238386360733,3.38,162872.11691749108,101.2,150990.7767385231,93.82,152105.24632507324,94.51,178318.72899382995,110.8,159615.32994360907,99.18,151320.0943987297,94.03
16876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3124.500173510349,1.94,150717.7129015013,93.65,137931.69535432107,85.71,139013.4843138021,86.38,166085.54236252533,103.2,146738.50342671893,91.18,138275.49764314026,85.92
16879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402.235753497429,1.49,159602.42352734305,99.17,147641.035943058,91.74,148753.31617981786,92.43,175043.01050331478,108.77,156279.88644065958,97.11,147971.40394904438,91.95
16735,2,0,3,2,6,0,0,17,0,0,0,0,0,0,0,13,32,32,2266.303489812187,1.41,76084.07849731667,47.28,72461.89076575017,45.03,73744.90893557722,45.82,91122.21228519718,56.62,76233.54938653256,47.37,72604.03216145713,45.11
16727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6217.002382305935,3.86,97349.12691434122,60.49,102908.32479131424,63.94,97431.30359430399,60.54,100352.98188778396,62.36,97524.09940656241,60.6,102876.5068126317,63.92
16748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18105.72498535954,11.25,128741.47048067399,80.0,132174.9478418253,82.13,128815.66467547933,80.04,132987.3677474487,82.63,128914.77927774207,80.1,132198.07344384643,82.14
16750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4491.937318517893,2.79,115668.95875147301,71.87,118423.39246557624,73.59,115738.76451700705,71.92,121723.10300773816,75.64,115840.94728126367,71.98,118456.7253701306,73.61
16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9644.645922031059,5.99,63302.55283157399,39.33,63533.78724227744,39.48,63350.3121785351,39.36,77707.28577084075,48.29,63464.3770297942,39.44,63586.108297727355,39.51
16321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621.7596226976088,1.01,37104.530302814615,23.06,24365.12071005908,15.14,25589.236543942254,15.9,52015.68904719857,32.32,32428.043356530867,20.15,24627.613314527054,15.3
16833,1,0,0,1,1,0,0,14,0,0,0,0,0,0,0,3,17,17,3350.147120511476,2.08,134940.8048200953,83.85,120070.32711852674,74.61,121054.98826536514,75.22,149957.59259532174,93.18,129245.20630762404,80.31,120447.69752520483,74.84
16858,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,3,6,6,2945.0262205883546,1.83,154352.67555033698,95.91,142445.1201157502,88.51,143560.8037382862,89.2,169794.54956681243,105.51,151065.72392081108,93.87,142773.91806917827,88.72
16871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18608.065862883184,11.56,154848.6691049933,96.22,146009.35746480906,90.73,147216.41330256884,91.48,170287.95086648013,105.81,153859.187605586,95.6,146282.22254348052,90.9
16845,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,21932.799242514502,13.63,157454.69847032032,97.84,148271.2482256568,92.13,149469.60983792032,92.88,172910.9346287082,107.44,156218.96458212545,97.07,148550.9133916405,92.31
16834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7462.122163520801,4.64,158483.6502761423,98.48,147513.41833814816,91.66,148660.76129967783,92.37,173964.81095636848,108.1,155920.24546825606,96.88,147825.95966625956,91.86
15865,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,6,6,290.6407098172563,0.18,112703.1648042547,70.03,97153.21185212117,60.37,98108.60458680186,60.96,127516.38564549669,79.24,106407.12660335601,66.12,97538.84164458777,60.61
16701,4,0,0,2,9,0,0,26,0,0,0,0,0,0,0,15,47,47,10104.489648643097,6.28,76433.12159105169,47.49,81375.72062655922,50.56,76509.4333979739,47.54,82773.7079340049,51.43,76606.96393530627,47.6,81345.05673724561,50.55
16733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4258.244257386874,2.65,91800.81156389225,57.04,90650.23889747454,56.33,91846.9821721257,57.07,105230.09321737486,65.39,91961.71413680949,57.14,90753.05708263941,56.39
16743,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,6,6,3040.1668342522153,1.89,118656.78126094845,73.73,119397.77448214094,74.19,118716.30364330308,73.77,127552.49338195648,79.26,118824.71101749755,73.83,119473.43333981078,74.24
16507,1,0,0,10,3,0,1,23,1,1,4,1,2,1,4,14,40,66,800.16269033237,0.5,1544.8324889501725,0.96,342.98857971257047,0.21,340.918892605308,0.21,38.621316404508214,0.02,1205.799164397839,0.75,1067.940232776635,0.66
16502,0,1,2,13,4,0,1,32,0,3,4,0,5,2,3,20,53,90,384.83210552195817,0.24,1345.4073892362867,0.84,1553.8070354304086,0.97,982.904290932659,0.61,2167.119559118577,1.35,1055.2394322329253,0.66,949.1926657344873,0.59
16508,2,2,3,6,11,0,0,24,1,0,28,1,4,1,4,24,52,112,345.5336947597991,0.21,939.4061008228571,0.58,1730.1504850960423,1.08,482.08373524879886,0.3,2131.1922081985917,1.32,884.9412037144106,0.55,566.4349927710949,0.35
16501,0,1,2,3,6,0,2,21,0,1,5,1,8,2,4,12,35,78,499.4813208689594,0.31,1572.1127126578126,0.98,255.3790751182202,0.16,466.52763227240143,0.29,741.7581061032014,0.46,701.2612578003492,0.44,511.11924566656893,0.32
16426,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,3,4,14,1587.898439672212,0.99,9775.728158868851,6.07,10003.995522545116,6.22,8289.696918340112,5.15,10231.812277516294,6.36,8207.843398322726,5.1,8978.28780204625,5.58
16430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5095.983214948039,3.17,8337.568218439805,5.18,23768.06543539999,14.77,8321.638132773987,5.17,7762.410465247677,4.82,13307.045779244849,8.27,8700.797274955905,5.41
16412,1,0,1,1,4,0,2,3,2,0,4,1,7,1,1,7,15,48,706.1116209159599,0.44,2829.6722744137683,1.76,21052.548986385602,13.08,854.6144704552054,0.53,1869.8140182530487,1.16,4144.185435298404,2.58,3587.236147824015,2.23
16421,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,13,1075.9539864039286,0.67,9020.423564199864,5.61,13042.75857881022,8.1,4188.675729448881,2.6,6732.924387370329,4.18,6364.582663167292,3.95,4879.543379220566,3.03
16407,4,0,1,0,5,0,0,5,0,0,0,0,6,0,0,10,16,29,1958.2424799896307,1.22,10496.424905000407,6.52,31507.6395309636,19.58,10616.740299415047,6.6,15351.765484415531,9.54,10575.124049425016,6.57,31092.02469582035,19.32
16668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14432.642262163137,8.97,154801.7635789442,96.19,140836.98605030784,87.51,141646.2644989826,88.02,168980.05570365873,105.0,150285.95982443754,93.38,141252.51184419205,87.77
16639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425.3402040048495,3.99,163600.00937504895,101.66,147513.72461413982,91.66,148411.27884814146,92.22,177761.00229719852,110.46,156869.3872174179,97.47,147912.68754647457,91.91
16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8688.162301671586,5.4,64319.23248423077,39.97,69655.74593775105,43.28,69600.73063473239,43.25,79169.95589757654,49.19,77332.99948347048,48.05,67972.38271196725,42.24
15825,0,0,0,3,5,0,0,15,0,0,0,0,0,0,0,8,33,33,1554.4522371375376,0.97,90614.06776613949,56.31,74326.61060767224,46.18,75250.61568313501,46.76,105150.45505026486,65.34,83650.3890341187,51.98,74720.36720521514,46.43
16218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7064.624076725116,4.39,76933.69519802413,47.8,78805.73633464516,48.97,78920.87627583942,49.04,91844.94478737267,57.07,87106.276176084,54.13,79239.39802596625,49.24
15864,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,6,6,2336.4284606287683,1.45,86113.69324926275,53.51,71893.81015999791,44.67,72616.4929119351,45.12,99903.0386844848,62.08,81360.84065944518,50.56,72321.82111437852,44.94
15827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139.491233035328,1.95,114771.06645622302,71.32,105057.28766182151,65.28,106254.23352928963,66.02,130255.91259400376,80.94,113057.40242978788,70.25,105338.4054517211,65.45
15841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.046137201429,0.73,117042.70866853227,72.73,106726.036890371,66.32,107906.02328246788,67.05,132527.71809315393,82.35,114891.99461829732,71.39,107019.12848617503,66.5
15764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,865.2915000961201,0.54,104307.20135185553,64.81,89576.45953120936,55.66,90356.96326661503,56.15,118161.49956218009,73.42,99039.70255860558,61.54,89996.7378671972,55.92
16416,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2602.0625405482006,1.62,17787.250006661194,11.05,27415.67537090908,17.04,17851.130599767963,11.09,31992.86560644667,19.88,17956.986799865248,11.16,27177.18966509812,16.89
16254,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,4,7,7,1821.1819642852877,1.13,58001.4290756101,36.04,45080.29930072691,28.01,45624.54527238155,28.35,71551.65580056302,44.46,54412.923475442796,33.81,45522.66871025315,28.29
16301,1,0,2,2,8,0,0,4,0,0,0,0,0,0,0,13,19,20,3651.9393179187823,2.27,34633.765953539645,21.52,19907.52690050241,12.37,20097.908917778266,12.49,46467.0741452339,28.87,28596.34630871423,17.77,20344.61160037234,12.64
16424,0,1,1,0,4,0,0,1,0,0,0,0,1,0,0,6,8,10,1587.9231540146823,0.99,24109.90817924506,14.98,24729.45971236975,15.37,17010.43504853546,10.57,24390.72082239118,15.16,23565.288413052465,14.64,24047.923792999693,14.94
16404,0,0,0,0,1,0,0,6,0,0,0,0,5,1,0,1,7,24,2474.0319226958845,1.54,13978.770574275197,8.69,13656.849478080594,8.49,12841.072023008079,7.98,19661.816108549618,12.22,4383.4686180880735,2.72,13250.596125878626,8.23
16372,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,236.52019985214184,0.15,39114.48643059346,24.3,50697.01410695757,31.5,50286.22626595076,31.25,53874.128019511256,33.48,53384.89302684103,33.17,42866.9918808431,26.64
16316,2,0,0,4,3,0,0,5,0,0,0,0,4,0,0,9,14,21,270.1927477010098,0.17,12818.540959107342,7.97,13596.18395817107,8.45,4642.624836237344,2.88,13180.143232011245,8.19,11978.514424682562,7.44,12782.293132300856,7.94
16153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13801.028659445914,8.58,23217.000808375768,14.43,36309.71947006573,22.56,33656.4668161643,20.91,36134.52541159441,22.45,35307.173601575945,21.94,27153.58964139766,16.87
16620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584.1373812722647,0.98,156346.65451862686,97.15,141984.77209577936,88.23,142989.77504612564,88.85,171490.5898373125,106.56,151094.8087196686,93.89,142355.9117719358,88.46
15753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6387.463152887056,3.97,143785.46403064486,89.34,127843.5941376858,79.44,128711.35250246429,79.98,157621.73726696378,97.94,137241.36609864503,85.28,128248.79484516825,79.69
16332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722.662829719476,2.93,57910.79874472688,35.98,39908.36684044398,24.8,40746.45961485497,25.32,71597.43434601428,44.49,49347.8197418453,30.66,40320.74854299725,25.05
16422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168.220408222215,1.97,13749.003613660143,8.54,14302.92503154206,8.89,8057.461242720947,5.01,13995.925955294557,8.7,13331.859279179573,8.28,13658.662985428124,8.49
16671,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,4594.177100603246,2.85,157073.59123576336,97.6,142044.9786194089,88.26,143012.34128361853,88.86,172077.25759473702,106.92,151261.1057008475,93.99,142427.02992657176,88.5
16866,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,4,10,10,5267.4169589376925,3.27,165522.0222888237,102.85,152424.81762129327,94.71,153488.9482046177,95.37,180864.55337810414,112.38,161309.7058063292,100.23,152775.5372055115,94.93
15848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2450.5631939315954,1.52,119598.96465769752,74.32,104607.54660675897,65.0,105592.70660893402,65.61,134566.40604075612,83.62,113785.29249021085,70.7,104984.92642668397,65.23
